run,isaac_parent,set,n_frames,mmd_isaac_vs_real,mmd_cosmos_vs_real,delta_isaac_minus_cosmos
dl09_cam_r01_iter006_run001_seed1024,dl09_cam_r01_iter006_run001_seed1024,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.389774,0.387917,0.001857
r4_top4_full_warehouse_seed1024,r4_top4_full_warehouse_seed1024,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.366516,0.432153,-0.065637
dp05_camjit_r01_iter002_run001_seed42,dp05_camjit_r01_iter002_run001_seed42,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.404657,0.433226,-0.028569
exp19_patrol_robot_low_seed42_clean,exp19_patrol_robot_low_seed42,20260712_cosmos_transfer_all_seeds_2prompts,128,0.767465,0.441451,0.326014
dl08_occ_r02_iter007_run001_seed789,dl08_occ_r02_iter007_run001_seed789,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.393528,0.444118,-0.05059
dp10_occ_r02_iter006_run002_seed42,dp10_occ_r02_iter006_run002_seed42,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.411209,0.447979,-0.036769
exp19_patrol_robot_low_seed42_gritty,exp19_patrol_robot_low_seed42,20260712_cosmos_transfer_all_seeds_2prompts,128,0.767465,0.45492,0.312545
exp24_high_contrast_hard_shadow_seed1024,exp24_high_contrast_hard_shadow_seed1024,20260713_cosmos_transfer_new_themes_2seeds,128,0.468165,0.478746,-0.01058
exp23_neon_colored_lighting_seed1024,exp23_neon_colored_lighting_seed1024,20260713_cosmos_transfer_new_themes_2seeds,128,0.49378,0.496044,-0.002264
dp04_agent_r03_iter009_run001_seed123,dp04_agent_r03_iter009_run001_seed123,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.436243,0.499912,-0.063669
r3_top3_full_warehouse_seed456,r3_top3_full_warehouse_seed456,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.522371,0.502471,0.0199
dp07_occ_r01_iter001_run001_seed456,dp07_occ_r01_iter001_run001_seed456,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.491073,0.50306,-0.011987
dl04_scene_r02_iter008_run001_seed456,dl04_scene_r02_iter008_run001_seed456,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.527218,0.524799,0.002419
exp20_dense_clutter_seed42,exp20_dense_clutter_seed42,20260713_cosmos_transfer_new_themes_2seeds,128,0.596418,0.530204,0.066214
r2_top2_full_warehouse_seed1024,r2_top2_full_warehouse_seed1024,20260713_cosmos_transfer_optuna_23runs_1seed,128,0.557984,0.538466,0.019518
