image_id,image_path,width,height,num_gt,gt_pallet_truck,gt_forklift,gt_pallet,real_tp,real_fp,real_fn,real_precision,real_recall,real_f1,real_mean_iou,real_num_preds,real_max_score,base_synth_tp,base_synth_fp,base_synth_fn,base_synth_precision,base_synth_recall,base_synth_f1,base_synth_mean_iou,base_synth_num_preds,base_synth_max_score,opt0_tp,opt0_fp,opt0_fn,opt0_precision,opt0_recall,opt0_f1,opt0_mean_iou,opt0_num_preds,opt0_max_score,opt0_beats_real,opt0_beats_base_synth,opt0_beats_both,opt0_f1_gain_vs_real,opt0_f1_gain_vs_base_synth,opt0_f1_gain_min
17544,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591645.991117.jpg,1280,800,29,2,0,27,2,5,27,0.2857,0.069,0.1111,0.746,7,0.3743,3,8,26,0.2727,0.1034,0.15,0.6164,11,0.5889,5,12,24,0.2941,0.1724,0.2174,0.5665,17,0.6069,True,True,True,0.1063,0.0674,0.0674
17545,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591651.5540068.jpg,1280,800,32,3,0,29,5,8,27,0.3846,0.1562,0.2222,0.7122,13,0.4677,5,8,27,0.3846,0.1562,0.2222,0.6354,13,0.7101,4,13,28,0.2353,0.125,0.1633,0.6587,17,0.6588,False,False,False,-0.0589,-0.0589,-0.0589
17546,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591686.0501428.jpg,1280,800,35,3,0,32,27,7,8,0.7941,0.7714,0.7826,0.7677,34,0.8532,28,4,7,0.875,0.8,0.8358,0.7614,32,0.8418,26,4,9,0.8667,0.7429,0.8,0.7724,30,0.8534,True,False,False,0.0174,-0.0358,-0.0358
17547,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591707.0677454.jpg,1280,800,8,0,1,7,8,0,0,1.0,1.0,1.0,0.7974,8,0.8287,7,2,1,0.7778,0.875,0.8235,0.7514,9,0.8632,7,3,1,0.7,0.875,0.7778,0.7533,10,0.8633,False,False,False,-0.2222,-0.0457,-0.2222
17548,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591740.1848662.jpg,1280,800,2,1,1,0,2,1,0,0.6667,1.0,0.8,0.8597,3,0.7276,1,3,1,0.25,0.5,0.3333,0.9166,4,0.8717,1,1,1,0.5,0.5,0.5,0.903,2,0.784,False,True,False,-0.3,0.1667,-0.3
17549,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591744.6001387.jpg,1280,800,1,1,0,0,0,4,1,0.0,0.0,0.0,0.0,4,0.4404,0,2,1,0.0,0.0,0.0,0.0,2,0.6063,0,1,1,0.0,0.0,0.0,0.0,1,0.5853,False,False,False,0.0,0.0,0.0
17550,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591764.5227544.jpg,1280,800,45,0,0,45,39,5,6,0.8864,0.8667,0.8764,0.7679,44,0.8221,40,2,5,0.9524,0.8889,0.9195,0.7496,42,0.8346,40,5,5,0.8889,0.8889,0.8889,0.748,45,0.8084,True,False,False,0.0125,-0.0306,-0.0306
17551,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591969.1546533.jpg,1280,800,53,0,0,53,41,5,12,0.8913,0.7736,0.8283,0.8033,46,0.8475,42,8,11,0.84,0.7925,0.8155,0.8045,50,0.8402,45,4,8,0.9184,0.8491,0.8824,0.7769,49,0.8621,True,True,True,0.0541,0.0669,0.0541
17552,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591973.5998793.jpg,1280,800,48,0,0,48,41,9,7,0.82,0.8542,0.8367,0.7619,50,0.8371,40,5,8,0.8889,0.8333,0.8602,0.7567,45,0.8432,41,4,7,0.9111,0.8542,0.8817,0.7504,45,0.8615,True,True,True,0.045,0.0215,0.0215
17553,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591980.505563.jpg,1280,800,47,0,0,47,35,2,12,0.9459,0.7447,0.8333,0.7698,37,0.8447,35,6,12,0.8537,0.7447,0.7955,0.7959,41,0.8458,34,4,13,0.8947,0.7234,0.8,0.7946,38,0.8618,False,True,False,-0.0333,0.0045,-0.0333
17554,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591985.0895307.jpg,1280,800,9,0,0,9,9,3,0,0.75,1.0,0.8571,0.7078,12,0.7045,7,2,2,0.7778,0.7778,0.7778,0.675,9,0.7077,5,2,4,0.7143,0.5556,0.625,0.6722,7,0.7473,False,False,False,-0.2321,-0.1528,-0.2321
17555,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591990.7685316.jpg,1280,800,33,0,0,33,15,5,18,0.75,0.4545,0.566,0.6652,20,0.6954,16,3,17,0.8421,0.4848,0.6154,0.6735,19,0.7058,11,3,22,0.7857,0.3333,0.4681,0.6707,14,0.7692,False,False,False,-0.0979,-0.1473,-0.1473
17556,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591995.298969.jpg,1280,800,63,0,1,62,32,21,31,0.6038,0.5079,0.5517,0.6699,53,0.7687,28,25,35,0.5283,0.4444,0.4828,0.7113,53,0.7927,30,22,33,0.5769,0.4762,0.5217,0.6743,52,0.778,False,True,False,-0.03,0.0389,-0.03
17557,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576591996.451821.jpg,1280,800,61,0,1,60,34,28,27,0.5484,0.5574,0.5528,0.67,62,0.7827,35,30,26,0.5385,0.5738,0.5556,0.6829,65,0.8059,36,24,25,0.6,0.5902,0.595,0.673,60,0.7819,True,True,True,0.0422,0.0394,0.0394
17558,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576592006.4469478.jpg,1280,800,42,3,0,39,36,13,6,0.7347,0.8571,0.7912,0.693,49,0.8421,29,14,13,0.6744,0.6905,0.6824,0.6151,43,0.8543,25,21,17,0.5435,0.5952,0.5682,0.6117,46,0.8502,False,False,False,-0.223,-0.1142,-0.223
17559,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576592032.1531954.jpg,1280,800,33,0,0,33,26,9,7,0.7429,0.7879,0.7647,0.6535,35,0.8624,25,7,8,0.7812,0.7576,0.7692,0.6505,32,0.8603,23,10,10,0.697,0.697,0.697,0.6706,33,0.9033,False,False,False,-0.0677,-0.0722,-0.0722
