image_id,image_path,width,height,num_gt,gt_pallet_truck,gt_forklift,gt_pallet,real_tp,real_fp,real_fn,real_precision,real_recall,real_f1,real_mean_iou,real_num_preds,real_max_score,base_synth_tp,base_synth_fp,base_synth_fn,base_synth_precision,base_synth_recall,base_synth_f1,base_synth_mean_iou,base_synth_num_preds,base_synth_max_score,opt0_tp,opt0_fp,opt0_fn,opt0_precision,opt0_recall,opt0_f1,opt0_mean_iou,opt0_num_preds,opt0_max_score,opt0_beats_real,opt0_beats_base_synth,opt0_beats_both,opt0_f1_gain_vs_real,opt0_f1_gain_vs_base_synth,opt0_f1_gain_min
17602,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593123.2732508.jpg,1280,800,14,0,0,14,4,6,10,0.4,0.2857,0.3333,0.7168,10,0.8814,4,7,10,0.3636,0.2857,0.32,0.7155,11,0.8642,8,6,6,0.5714,0.5714,0.5714,0.7094,14,0.8794,True,True,True,0.2381,0.2514,0.2381
17941,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam2/1576594751.9590912.jpg,1280,720,7,0,2,5,4,5,3,0.4444,0.5714,0.5,0.7383,9,0.7271,4,4,3,0.5,0.5714,0.5333,0.7184,8,0.715,5,1,2,0.8333,0.7143,0.7692,0.6652,6,0.7882,True,True,True,0.2692,0.2359,0.2359
17581,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576592652.96357.jpg,1280,800,9,0,0,9,4,5,5,0.4444,0.4444,0.4444,0.6851,9,0.7272,3,3,6,0.5,0.3333,0.4,0.724,6,0.8097,5,1,4,0.8333,0.5556,0.6667,0.7441,6,0.8308,True,True,True,0.2223,0.2667,0.2223
17711,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576595467.4275799.jpg,1280,800,9,0,0,9,3,9,6,0.25,0.3333,0.2857,0.6921,12,0.6205,4,7,5,0.3636,0.4444,0.4,0.629,11,0.6632,6,5,3,0.5455,0.6667,0.6,0.704,11,0.6589,True,True,True,0.3143,0.2,0.2
17579,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576592636.7302651.jpg,1280,800,5,0,0,5,5,4,0,0.5556,1.0,0.7143,0.7079,9,0.8798,3,2,2,0.6,0.6,0.6,0.8152,5,0.8788,5,1,0,0.8333,1.0,0.9091,0.7296,6,0.8533,True,True,True,0.1948,0.3091,0.1948
18043,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam2/1576596102.396161.jpg,1280,720,8,0,0,8,4,15,4,0.2105,0.5,0.2963,0.6239,19,0.6741,4,10,4,0.2857,0.5,0.3636,0.7218,14,0.7231,5,5,3,0.5,0.625,0.5556,0.7137,10,0.7716,True,True,True,0.2593,0.192,0.192
17862,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam2/1576593810.7481027.jpg,1280,720,21,0,0,21,8,15,13,0.3478,0.381,0.3636,0.6994,23,0.8573,8,23,13,0.2581,0.381,0.3077,0.7138,31,0.8767,13,13,8,0.5,0.619,0.5532,0.642,26,0.8661,True,True,True,0.1896,0.2455,0.1896
18455,"/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593627494,11.jpg",1920,1080,26,0,0,26,7,14,19,0.3333,0.2692,0.2979,0.6302,21,0.7289,8,16,18,0.3333,0.3077,0.32,0.7066,24,0.7699,12,11,14,0.5217,0.4615,0.4898,0.6469,23,0.7734,True,True,True,0.1919,0.1698,0.1698
18094,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam3/1576592758.3011672.jpg,1280,960,22,3,0,19,4,3,18,0.5714,0.1818,0.2759,0.764,7,0.8038,4,7,18,0.3636,0.1818,0.2424,0.7466,11,0.7806,7,3,15,0.7,0.3182,0.4375,0.7043,10,0.8031,True,True,True,0.1616,0.1951,0.1616
18458,"/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593633373,09.jpg",1920,1080,27,0,0,27,7,15,20,0.3182,0.2593,0.2857,0.657,22,0.7121,7,15,20,0.3182,0.2593,0.2857,0.6557,22,0.7495,12,16,15,0.4286,0.4444,0.4364,0.6185,28,0.7552,True,True,True,0.1507,0.1507,0.1507
