distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_29,simulation_1,128,2.8669286278943047,73,121906,262407,0.07799726016810132,0,34,6,31,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,0.3663618432936917,None,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_rubber_woven_charcoal.jpg,,nv_plastic_blue.jpg,,1,nv_gravel_grey_leaves.jpg,3.079945628407756,93,0.4667356821286144,2,2.0
dist_30,simulation_1,128,1.0585231847278567,64,89864,520879,0.03727532183988541,3,34,5,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,0.7296061783380641,None,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_tile_square_green.jpg,nv_stucco_red_painted.jpg,nv_stone_painted_grey.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,,1,nv_gravel_grey_leaves.jpg,5.0,84,0.20000000298023224,5,1.5839363340328514
dist_31,simulation_1,128,2.6239725764523483,40,115752,366964,0.11105390523536512,0,34,2,31,2,360,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,nv_gravel_grey_leaves.jpg,0.27864646423661144,warehouse,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_shingles_brown.jpg,nv_stone_painted_grey.jpg,,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,,3.836646991072765,80,0.9282943832165609,4,1.338041690832953
dist_32,simulation_1,128,0.5513774838869854,81,143030,453241,0.16951489552435034,1,34,5,31,2,360,nv_concrete_aged_with_lines.jpg,nv_marble.jpg,nv_tile_hexagonal_various.jpg,0.6519612595026005,None,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_fabric_square_grid.jpg,nv_wood_shingles_brown.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,,1,,5.0,100,1.0,3,1.4222796971607305
dist_33,simulation_1,128,1.155689422064874,47,118976,574462,0.3480148983374865,2,34,0,31,2,360,nv_granite_tile.jpg,nv_wooden_wall.jpg,nv_bamboo_desktop.jpg,0.5015162946871996,warehouse,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_fabric_square_grid.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,,1,,3.2191187775800163,60,0.37346310667860244,6,2.0
dist_34,simulation_1,128,1.4041729569643586,47,90950,300097,0.27461333235306024,2,34,4,31,2,360,nv_granite_tile.jpg,nv_artificialgrass_green.jpg,nv_bamboo_desktop.jpg,0.4741738290873252,None,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,,,1,nv_gravel_grey_leaves.jpg,4.614453770695277,60,0.5936570650837922,6,0.5209130461718298
dist_35,simulation_1,128,1.061007900449138,45,128772,451577,0.4387360067635265,2,34,5,31,2,360,nv_marble.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,0.9025529066795667,None,,nv_tile_hexagonal_green_white.jpg,nv_brick_red_stacked.jpg,nv_stucco_smooth_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,,1,nv_wood_siding_weathered_green.jpg,1.4034298308793485,95,1.0,3,1.0724113673071334
dist_36,simulation_1,128,1.3105311560007982,57,136896,578900,0.49300053191143545,3,34,2,31,2,360,nv_marble.jpg,nv_marble.jpg,nv_bamboo_desktop.jpg,0.9621725484745419,additional,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,,,1,nv_wood_siding_weathered_green.jpg,5.0,99,1.0,5,2.0
dist_37,simulation_1,128,0.7390657462135906,81,137578,579920,0.36285975419418,2,34,2,31,2,360,nv_concrete_aged_with_lines.jpg,nv_marble.jpg,nv_carpet_abstract_pattern.jpg,0.27340707193070624,None,,nv_stone_red_hatch.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_shingles_brown.jpg,nv_stucco_smooth_blue.jpg,,,nv_brick_reclaimed.jpg,1,,1.3804175852511784,82,0.7135122542448963,6,1.0580167133211509
dist_38,simulation_1,128,2.741228476275638,56,115979,513461,0.19827139116063508,2,34,6,31,2,360,nv_concrete_aged_with_lines.jpg,nv_marble.jpg,nv_carpet_abstract_pattern.jpg,0.13882717264941014,warehouse,,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stone_painted_grey.jpg,nv_plastic_blue.jpg,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,4.475419188444425,84,0.9457675822005782,3,0.6438505739485828
dist_39,simulation_1,128,2.71705846300467,63,117248,242868,0.22370618341172732,2,34,1,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.74543947418433,warehouse,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_red_painted.jpg,nv_stucco_smooth_blue.jpg,nv_plastic_blue.jpg,,nv_brick_reclaimed.jpg,1,,5.0,75,0.5474530518923306,5,1.7607587094775032
dist_40,simulation_1,128,0.6100594373478169,68,100204,432495,0.07718135763710116,1,34,3,31,2,360,nv_marble.jpg,nv_marble.jpg,nv_tile_hexagonal_various.jpg,0.8306194077877291,warehouse,,nv_fireplace_wall.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stone_painted_grey.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,5.0,100,0.41215348173272154,2,2.0
dist_41,simulation_1,128,1.7403449538976452,81,135202,260670,0.15586103389777411,0,34,5,31,2,360,nv_animalfur_pattern_greys.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.6411476328852973,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_fabric_square_grid.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,5.0,100,0.7471773420991288,3,0.7508599582015956
