distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_267,simulation_1,128,1.3778441449874896,75,127767,389561,0.46204947901096394,2,34,6,31,2,360,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.38752605014356306,None,,nv_stone_red_hatch.jpg,nv_wood_shingles_brown.jpg,nv_concrete_aged_with_lines.jpg,nv_asphalt_yellow_weathered.jpg,,,,1,nv_brick_reclaimed.jpg,1.8934916078327833,83,0.8517312624400448,6,1.612959674234163
dist_268,simulation_1,128,2.570345235400548,84,121653,289043,0.17059028120840689,1,34,6,31,2,360,nv_concrete_aged_with_lines.jpg,nv_bamboo_desktop.jpg,nv_gravel_grey_leaves.jpg,0.33589611789076046,None,nv_brick_reclaimed.jpg,nv_tile_hexagonal_green_white.jpg,nv_rubber_woven_charcoal.jpg,nv_stucco_red_painted.jpg,nv_wood_siding_weathered_green.jpg,nv_plastic_blue.jpg,,,1,,3.014646472187165,100,0.23455474047362565,3,1.5443160990536635
dist_269,simulation_1,128,1.224420152136458,74,91668,400606,0.42434374206865677,2,34,2,31,2,360,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,nv_tile_hexagonal_various.jpg,0.4748142730174303,warehouse,,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_plastic_blue.jpg,,nv_plastic_blue.jpg,1,nv_gravel_grey_leaves.jpg,2.7741612076771407,76,0.5362429228360289,4,1.7426066466612165
dist_270,simulation_1,128,0.7023126422662728,76,104563,453350,0.16591645991794313,0,34,4,31,2,360,nv_granite_tile.jpg,nv_wooden_wall.jpg,nv_gravel_grey_leaves.jpg,0.9138549315046621,warehouse,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_tile_hexagonal_various.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,,,1,nv_brick_red_stacked.jpg,1.5697303128967375,92,0.8890358188057763,5,1.6982550203665014
dist_271,simulation_1,128,0.5012808745914548,81,120383,348482,0.35342920556201396,3,34,2,31,2,360,nv_marble.jpg,nv_rubber_woven_charcoal.jpg,nv_tile_square_green.jpg,0.9234157184998827,warehouse,,nv_fireplace_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_asphalt_yellow_weathered.jpg,nv_asphalt_yellow_weathered.jpg,,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,2.0677653324066565,100,0.3568709701933437,6,2.0
dist_272,simulation_1,128,1.0528165822773092,76,104771,457269,0.19273077798218308,0,34,6,31,2,360,nv_concrete_aged_with_lines.jpg,nv_artificialgrass_green.jpg,nv_fireplace_wall.jpg,0.8975735434002162,warehouse,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stucco_red_painted.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,,,1,nv_wood_siding_weathered_green.jpg,5.0,100,0.3746184471902181,2,1.9594012375994567
dist_273,simulation_1,128,1.1015491567964755,74,92041,325918,0.12643983531369574,0,34,4,31,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_fireplace_wall.jpg,0.8481317483667636,warehouse,nv_brick_red_stacked.jpg,nv_brick_reclaimed.jpg,nv_stucco_smooth_blue.jpg,nv_stucco_red_painted.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,5.0,97,0.5015773030140489,1,2.0
dist_274,simulation_1,128,0.9612554234618387,59,91471,446620,0.05292212928014285,2,34,3,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,0.5474302777909719,None,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_brick_reclaimed.jpg,,,1,,5.0,81,0.2593842897084465,3,0.895367237032185
dist_275,simulation_1,128,0.6771760693220455,83,96289,262257,0.24613669042813158,1,34,3,31,2,360,nv_granite_tile.jpg,nv_artificialgrass_green.jpg,nv_tile_hexagonal_various.jpg,0.2857724642687359,warehouse,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_wood_siding_weathered_green.jpg,nv_wooden_wall.jpg,,nv_plastic_blue.jpg,1,,1.9838887024205607,100,0.38696033770170896,3,1.2000102210065493
dist_276,simulation_1,128,0.9411707748054754,67,84128,459154,0.1828846477996094,0,34,6,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_bamboo_desktop.jpg,0.9388438827276566,warehouse,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_tile_hexagonal_various.jpg,nv_concrete_aged_with_lines.jpg,nv_carpet_abstract_pattern.jpg,nv_carpet_abstract_pattern.jpg,,,1,nv_plastic_blue.jpg,2.0485908535825255,100,0.7392970457259493,6,1.5525701502431783
