distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_1038,simulation_1,128,0.9920208828611605,70,106647,401968,0.2112657441878047,1,34,5,31,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_tile_hexagonal_green_white.jpg,0.47789667962149174,nv_plastic_blue.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_red_painted.jpg,nv_stone_painted_grey.jpg,,nv_gravel_grey_leaves.jpg,,,nv_wood_siding_weathered_green.jpg,warehouse,1,5.0,97,0.6209242773830066,3,1.8258503701376294
dist_1039,simulation_1,128,1.299439500006876,65,90577,573742,0.07722348673250563,3,34,5,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_granite_tile.jpg,nv_stone_red_hatch.jpg,0.6247279085533812,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_fabric_square_grid.jpg,nv_stucco_red_painted.jpg,nv_stucco_smooth_blue.jpg,nv_carpet_abstract_pattern.jpg,,,nv_gravel_grey_leaves.jpg,None,1,5.0,100,0.49298941326004136,4,1.3677593117753255
dist_1040,simulation_1,128,0.5970122999181986,70,108000,451710,0.016883074875877944,2,34,6,31,2,360,nv_marble.jpg,nv_marble.jpg,nv_tile_hexagonal_various.jpg,0.6898129091570901,nv_plastic_blue.jpg,nv_fireplace_wall.jpg,nv_stucco_red_painted.jpg,nv_stucco_red_painted.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,,,nv_brick_reclaimed.jpg,warehouse,1,4.189855910214311,97,0.23378735872219863,3,1.3892458960041538
dist_1041,simulation_1,128,0.8087035813690884,58,146335,479591,0.39546298355535986,2,34,5,31,2,360,nv_marble.jpg,nv_wooden_wall.jpg,nv_carpet_abstract_pattern.jpg,0.7955229538971265,,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_carpet_abstract_pattern.jpg,nv_wood_siding_weathered_green.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,,,additional,1,1.8016491126314258,100,0.7914459309177144,3,1.4739386308832145
dist_1042,simulation_1,128,0.40373273947772476,72,88950,233110,0.14605941928142038,0,34,5,31,2,360,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,nv_stone_red_hatch.jpg,0.707823434980929,nv_brick_red_stacked.jpg,nv_brick_red_stacked.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,nv_wooden_wall.jpg,,,,nv_plastic_blue.jpg,additional,1,5.0,88,0.8747738701630721,5,1.6011410360605742
dist_1043,simulation_1,128,0.9296196594017521,48,144956,512958,0.45065528083724826,3,34,4,31,2,360,nv_marble.jpg,nv_marble.jpg,nv_bamboo_desktop.jpg,0.8338894853494285,,nv_brick_red_stacked.jpg,nv_wood_shingles_brown.jpg,,nv_wood_siding_weathered_green.jpg,nv_wooden_wall.jpg,,nv_brick_reclaimed.jpg,,additional,1,2.252521324928363,100,0.6879526841474614,6,0.9621831141280689
dist_1044,simulation_1,128,0.9217357378791365,77,147460,403646,0.1500058633105378,0,34,5,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_marble.jpg,nv_gravel_grey_leaves.jpg,0.8027864157570364,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_fabric_square_grid.jpg,nv_stone_painted_grey.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,,,nv_brick_red_stacked.jpg,None,1,5.0,100,0.9968797924724444,1,1.4956871868982238
dist_1045,simulation_1,128,1.10945441794448,81,85946,412718,0.046628101822588176,3,34,2,31,2,360,nv_concrete_aged_with_lines.jpg,nv_artificialgrass_green.jpg,nv_bamboo_desktop.jpg,0.23936324919246157,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_fabric_square_grid.jpg,nv_gravel_grey_leaves.jpg,nv_stucco_smooth_blue.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,additional,1,2.5699121235836824,100,0.9149362505354159,6,0.35547047492505973
dist_1046,simulation_1,128,0.41325000279391944,57,91289,560885,0.15093511768806422,0,34,4,31,2,360,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,0.9150194113748911,nv_plastic_blue.jpg,nv_fabric_square_grid.jpg,nv_wood_shingles_brown.jpg,nv_wood_shingles_brown.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,,warehouse,1,1.0,80,0.5377381738496118,5,0.987749743744105
dist_1047,simulation_1,128,1.1540894069941983,72,124473,254547,0.055746701302472224,1,34,4,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,0.9860832477194759,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,nv_wooden_wall.jpg,nv_brick_red_stacked.jpg,,,,additional,1,5.0,81,0.8338341729117176,6,2.0
