distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_instances,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_mean_std_synth_distractor_scale_mean,metadata.synth_metadata_mean_std_synth_distractor_scale_std,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_image_color_gain_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_palletjack_color_randomized,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_texture_2
dist_20,simulation_1,128,-1,2,6.2585001025836515,7.9631539833257285,0,6,-19,0.9359671220172159,fisheyePolynomial,180,72.10592611560483,3.540362888980227,0,35,9,gaussian_jpeg,-1,53,1,7.342234736668553,0.27898772130408367,3,47,3,5,25,4,1,6,2,2,110,2,2,119,5,2,5,1,3,18,1,2,11,2,1.25,0.144337996840477,warehouse,full_warehouse,0,61,6.640476148244676,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,136141,131291,0.5393546313665898,0.24175084942248637,470,258.31441100133395,1,0.2886750102043152,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_gravel_grey_leaves.jpg
dist_21,simulation_1,128,-1,2,4.6541608304363065,4.91482505269067,0,0,-16,1.9510999321604823,pinhole,180,99.28521054475102,2.3610746258097466,0,30,9,gaussian,-1,20,0,0.377150228240811,1.2728208225275608,3,65,5,2,50,5,1,3,2,2,53,1,5,102,4,2,13,1,3,22,4,2,19,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,99,9.025114082794405,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,36286,318680,0.34609385781425006,0.1263483482254581,60,97.4611069996502,1,0.2886750102043152,nv_brick_reclaimed.jpg,nv_granite_tile.jpg,nv_brick_reclaimed.jpg
dist_22,simulation_1,128,-1,2,4.698298578675052,7.21482583673213,0,5,-21,5.011814973535428,pinhole,180,18.87363844770257,2.954464715941209,1,18,7,shot_jpeg,-1,95,0,4.092796212603102,0.22694704248117814,5,110,3,4,99,4,1,6,2,3,18,6,5,80,3,1,11,3,3,32,3,2,3,2,1.25,0.144337996840477,warehouse,full_warehouse,0,45,7.644512383756391,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,35936,117464,0.3920568341645998,0.22438123688790512,326,64.7409743916455,1,0.2886750102043152,nv_brick_reclaimed.jpg,nv_concrete_aged_with_lines.jpg,nv_tile_square_green.jpg
dist_23,simulation_1,128,-1,2,6.274250028411107,9.352969373794572,0,4,-22,5.5699113755263525,fisheyePolynomial,180,106.54389782347901,4.265047277336801,0,24,9,shot_jpeg,-1,65,0,7.380086720390037,1.9801077002085266,2,66,5,4,84,5,1,4,2,3,146,5,5,115,4,2,12,2,3,32,4,2,8,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,72,6.798512442953037,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,88010,364729,0.21067509073159302,0.08779363194699943,412,103.9780839732681,1,0.2886750102043152,nv_rubber_woven_charcoal.jpg,,nv_gravel_grey_leaves.jpg
dist_24,simulation_1,128,-1,2,5.101520028034869,7.417500095460861,0,3,-1,4.4273815001746115,fisheyePolynomial,180,54.862005930640045,1.2386549475057873,0,31,3,shot_jpeg,-1,57,0,5.899390501401989,0.9469435415611314,2,55,3,4,77,2,1,4,2,5,92,6,4,22,2,2,1,2,3,24,2,2,14,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,110,9.337454493692446,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,71221,64882,0.2352723043633571,0.08380243789822221,47,197.16707619704462,1,0.2886750102043152,nv_asphalt_yellow_weathered.jpg,nv_granite_tile.jpg,nv_tile_square_green.jpg
dist_25,simulation_1,128,-1,2,6.022509245053197,6.239918077786525,0,9,-15,5.373139370977203,pinhole,180,101.01128775983005,0.4564333839306678,0,35,10,gaussian,-1,73,3,9.498948524710183,1.5792362855891078,2,63,2,4,54,6,1,4,2,2,27,5,4,14,2,2,2,3,3,4,1,2,20,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,111,8.273647296812591,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,104608,73012,0.47200143050307,0.19652501172211734,212,261.6419793520304,1,0.2886750102043152,nv_marble.jpg,nv_tile_square_green.jpg,nv_tile_square_green.jpg
dist_26,simulation_1,128,-1,2,5.009168583278541,5.854512144254095,0,6,-10,5.406948062945934,fisheyePolynomial,180,105.28909098727308,4.4513189194545815,0,29,5,shot_jpeg,-1,98,3,8.37794056823694,1.0721927326882408,3,102,4,2,110,6,1,10,2,5,111,3,5,109,2,1,6,3,3,7,3,2,9,2,1.25,0.144337996840477,warehouse,warehouse,0,69,4.913849503514943,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,45429,522216,0.48451536344366075,0.28861609567391266,499,160.33932558681863,1,0.2886750102043152,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_brick_reclaimed.jpg
dist_27,simulation_1,128,-1,2,2.6435244101580593,3.4364232968214843,0,0,-15,3.5395061211277987,fisheyePolynomial,180,100.8950759769061,1.7412773351165018,1,32,6,shot,-1,58,1,5.509629074859136,1.960065150570954,3,42,4,2,11,2,1,2,2,2,26,4,2,44,5,1,11,1,1,2,1,2,7,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,53,5.549889027336528,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,128132,421977,0.2137592522760948,0.246816972791098,314,23.601800025243765,1,0.2886750102043152,nv_brick_red_stacked.jpg,nv_asphalt_yellow_weathered.jpg,nv_marble.jpg
dist_28,simulation_1,128,-1,2,3.178187927520466,4.007004928375918,0,3,-20,5.34316368443937,fisheyePolynomial,180,89.97126766769713,2.492210994645286,0,27,7,jpeg,-1,71,2,4.273160710774155,1.9730304975859594,4,31,2,2,31,2,1,2,2,3,33,6,2,67,3,2,2,2,3,35,4,2,6,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,80,4.959853655621989,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,177356,132550,0.3132877386156354,0.16877795214216856,254,69.97766353460985,1,0.2886750102043152,nv_brick_red_stacked.jpg,,nv_wooden_wall.jpg
dist_29,simulation_1,128,-1,2,2.4880420437326594,2.9053717210133625,0,8,-10,5.050972660549633,fisheyePolynomial,180,34.154595404535726,0.8182797143285225,0,32,8,shot,-1,54,1,5.552157428035278,0.6027557483282842,4,64,2,5,47,4,1,10,2,5,22,6,4,43,2,2,10,2,3,32,1,2,7,2,1.25,0.144337996840477,warehouse,full_warehouse,0,95,9.137359457332245,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,98285,497223,0.23872111190367956,0.25663344034060187,63,114.68696437404529,1,0.2886750102043152,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg
