distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_instances,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_mean_std_synth_distractor_scale_mean,metadata.synth_metadata_mean_std_synth_distractor_scale_std,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_image_color_gain_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_palletjack_color_randomized,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_texture_2
dist_50,simulation_1,128,-1,2,6.2585001025836515,7.9631539833257285,0,6,-19,0.9359671220172159,fisheyePolynomial,180,72.10592611560483,3.540362888980227,0,35,9,gaussian_jpeg,-1,53,1,7.342234736668553,0.27898772130408367,3,47,3,5,25,4,1,6,2,2,110,2,2,119,5,2,5,1,3,18,1,2,11,2,1.25,0.14430130557311838,warehouse,warehouse,0,77,6.826971955402957,0,1,0,1,0,1,0,97.5,1.4433803964376468,1,0.5,0.5,0.5,0.28869925384231493,0.28869439174052475,208808,539526,0.40926500090975443,0.27237211526084437,44,56.57538032108939,1,0.2886761410741626,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_tile_square_green.jpg
dist_51,simulation_1,128,-1,2,4.724031618281847,9.142816854336314,0,5,-20,4.2794687233379705,pinhole,180,88.2418820956833,2.4689779818219537,1,25,3,shot,-1,93,0,4.924595076427557,1.5111022770860973,2,11,3,2,112,6,1,7,2,6,145,2,5,68,5,2,5,1,1,18,4,2,18,2,1.25,0.14430026304621776,warehouse,warehouse,0,63,9.600367927387634,0,1,0,1,0,1,0,97.5,1.4433837279072128,1,0.5,0.5,0.5,0.288687982122053,0.28869258859474994,102271,583775,0.5368565648149206,0.13254067181270626,249,86.85608832391168,1,0.2886821323983306,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,nv_brick_reclaimed.jpg
dist_52,simulation_1,128,-1,2,2.709829316911674,7.303313240950779,0,1,-7,2.3204120778032244,pinhole,180,47.40130334977456,0.5673676062029454,1,33,5,gaussian,-1,25,3,10.805016685959966,1.2662029145465359,3,45,4,5,107,5,1,7,2,2,30,6,4,3,2,2,1,1,2,28,3,2,6,2,1.25,0.144327060237742,warehouse,warehouse_multiple_shelves,0,101,7.603290246102404,0,1,0,1,0,1,0,97.5,1.443389630119547,1,0.5,0.5,0.5,0.2886773524621191,0.28868420462485456,84062,165294,0.5405537058429805,0.16202967062090345,446,182.19403145954257,1,0.28869488378416513,nv_marble.jpg,nv_granite_tile.jpg,nv_marble.jpg
dist_53,simulation_1,128,-1,2,2.0761648410017557,7.074054959629462,0,10,-19,3.10997791418242,pinhole,180,81.21649539455046,3.5124204199355464,0,23,9,shot,-1,84,2,8.42360252709244,1.591585338872202,5,43,3,2,70,2,1,5,2,4,53,4,2,6,5,1,2,2,3,9,3,2,3,2,1.25,0.14430196267946035,warehouse,warehouse_with_forklifts,0,111,6.614102438108367,0,1,0,1,0,1,0,97.5,1.44338372197241,1,0.5,0.5,0.5,0.288694893158001,0.2886817821341398,116210,70112,0.20887276340229569,0.280880667689294,418,200.9104516455554,1,0.28868523572446,nv_wood_siding_weathered_green.jpg,nv_gravel_grey_leaves.jpg,nv_gravel_grey_leaves.jpg
dist_54,simulation_1,128,-1,2,4.6176654896147085,7.2267117813942745,0,0,-14,3.7551594942854183,fisheyePolynomial,180,77.57589500379979,0.8146721354071484,0,29,3,gaussian,-1,56,2,11.297577705318302,0.7722052756015485,5,114,2,2,13,2,1,1,2,5,14,2,5,4,5,1,2,3,2,36,3,2,17,2,1.25,0.14431071561813438,warehouse,warehouse_with_forklifts,0,68,5.604126600549482,0,1,0,1,0,1,0,97.5,1.443394641330012,1,0.5,0.5,0.5,0.2886835317066393,0.2886982829986865,193807,271671,0.4628048834205668,0.23745424151030287,51,260.5445870368766,1,0.2886876436096574,nv_asphalt_yellow_weathered.jpg,nv_granite_tile.jpg,nv_granite_tile.jpg
dist_55,simulation_1,128,-1,2,5.331402101101643,7.098457317613147,0,1,-21,4.20581478875472,fisheyePolynomial,180,82.09301157986714,0.4067439032094988,0,35,5,shot_jpeg,-1,49,0,9.325762991129242,1.11680849947161,3,114,2,3,3,4,1,1,2,2,23,4,4,74,5,1,5,3,1,39,1,2,20,2,1.25,0.14430163886808564,warehouse,warehouse_multiple_shelves,0,79,9.785117749333693,0,1,0,1,0,1,0,97.5,1.443388541431966,1,0.5,0.5,0.5,0.2886907477813183,0.2886924068078416,119090,385846,0.40451001737749437,0.2680491568581642,22,81.10708819739109,1,0.28869877443418324,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_gravel_grey_leaves.jpg
dist_56,simulation_1,128,-1,2,5.571711325347742,9.903298584007022,0,1,-9,2.285345139786129,pinhole,180,94.6412269475581,2.3434657989748513,0,22,3,shot,-1,81,3,10.195768688128938,0.4946962034863953,3,18,5,4,29,5,1,7,2,3,22,5,4,97,4,2,9,2,3,17,1,2,2,2,1.25,0.14432869255545688,warehouse,full_warehouse,0,39,5.454112911646179,0,1,0,1,0,1,0,97.5,1.4433901504722528,1,0.5,0.5,0.5,0.28868481793266054,0.28868594889222315,202270,225247,0.3798963287815902,0.2435288000435418,198,179.58096551734695,1,0.28869657287453526,nv_plastic_blue.jpg,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg
dist_57,simulation_1,128,-1,2,2.034642437136597,3.3168327042272647,0,5,-18,2.1856191662884528,fisheyePolynomial,180,18.7346532849044,3.997051994545213,1,19,9,jpeg,-1,33,0,4.445665233496584,0.9690459703820427,4,47,3,4,6,3,1,8,2,6,93,4,2,57,4,1,5,2,1,13,1,2,8,2,1.25,0.14430454959625214,warehouse,warehouse,0,75,3.6084420166119657,0,1,0,1,0,1,0,97.5,1.4433888787652787,1,0.5,0.5,0.5,0.2886896836667663,0.28869364928361296,114857,98358,0.29932157254694014,0.15576620076709377,323,164.76950722664705,1,0.28868391409972394,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,nv_marble.jpg
dist_58,simulation_1,128,-1,2,2.5165143873142517,4.859962261171226,0,4,-11,1.4544583944904814,fisheyePolynomial,180,42.4199025578243,2.9061911071130613,0,26,7,gaussian_jpeg,-1,44,3,3.055687857165166,1.3630054444478585,5,75,3,3,43,6,1,9,2,6,24,5,5,24,2,2,9,3,1,32,1,2,5,2,1.25,0.14430624064482336,warehouse,warehouse,0,103,5.7471157519584475,0,1,0,1,0,1,0,97.5,1.443395609031531,1,0.5,0.5,0.5,0.28868599039877324,0.28868443537879845,120596,198292,0.4616632927260689,0.18490518164326017,116,259.6848162230877,1,0.28868460907741583,nv_wooden_wall.jpg,,nv_brick_reclaimed.jpg
dist_59,simulation_1,128,-1,2,2.3345954142765395,4.14231067727239,0,7,-7,3.846885797311784,pinhole,180,38.92091059616051,1.7284799675195972,0,34,7,shot,-1,59,2,0.2173222058500861,1.744247817888303,5,72,4,5,86,2,1,6,2,5,77,5,5,116,3,1,15,3,1,37,4,2,11,2,1.25,0.14432246614040659,warehouse,warehouse_with_forklifts,0,38,5.334494201838009,0,1,0,1,0,1,0,97.5,1.4433855331034786,1,0.5,0.5,0.5,0.2886884473237653,0.2886980104107311,99074,224498,0.45812544641241915,0.17436658245024428,112,130.60804083345334,1,0.28867853221416767,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_brick_reclaimed.jpg
