distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_env_name
dist_89,simulation_1,128,1,25,6,jpeg,98,0,1.1827989405777182,0.45630700459798335,1.668186552994994,0.2042737157476948,warehouse
dist_90,simulation_1,128,1,23,3,jpeg,94,0,1.5870210431451877,0.0646392152713251,1.3809592964637676,0.33939182266708756,warehouse
dist_91,simulation_1,128,1,20,3,jpeg,79,0,0.6146032950363974,0.193676930834761,1.938023362344105,0.24087672372657812,warehouse
dist_92,simulation_1,128,1,28,10,gaussian,57,2,10.0318319746926,1.6403842942900337,2.106998684414455,1.0366452122432932,warehouse_multiple_shelves
dist_93,simulation_1,128,1,21,3,jpeg,90,0,1.0367062713761597,0.15900158259267902,1.8428590526962172,0.26921514611575253,full_warehouse
dist_94,simulation_1,128,1,26,6,gaussian,99,0,5.740450018613246,0.018817587579862537,2.860689066529395,1.0239458671432997,warehouse_with_forklifts
dist_95,simulation_1,128,1,18,5,jpeg,90,1,0.4283485723388788,0.04409567077587153,1.5308719079744808,0.3945743720656657,warehouse
dist_96,simulation_1,128,0,31,9,gaussian,42,0,2.6744483544259556,1.1735025744513075,1.4583058700746236,1.0288550939021988,warehouse_with_forklifts
dist_97,simulation_1,128,0,31,8,gaussian,36,0,0.4425145836121187,1.0588271401006963,3.1484537784161555,0.9628402218797689,warehouse_with_forklifts
dist_98,simulation_1,128,1,27,4,jpeg,92,0,0.19847681186667301,0.08952409371302962,1.5559138598715647,0.19586383587358974,warehouse
dist_99,simulation_1,128,1,23,4,jpeg,82,0,2.134271675277954,0.10806958377653539,1.7512825883303809,0.20298019110123028,warehouse
dist_100,simulation_1,128,1,29,10,gaussian,47,2,7.056304817101152,1.860572603990199,2.8151562937331223,0.8382212445388095,warehouse_multiple_shelves
dist_101,simulation_1,128,0,31,9,gaussian,26,0,1.3890318848435244,1.1706166142521566,2.4302519878950197,0.9204017157374357,warehouse_with_forklifts
dist_102,simulation_1,128,1,25,3,jpeg,100,0,0.39950351912897736,0.6456549810369901,1.764270611404116,0.08045997148808443,warehouse
dist_103,simulation_1,128,1,23,4,jpeg,83,0,1.3658782017607412,0.1480235959809115,0.8894659676495971,0.22071451137866124,warehouse
