distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_env_name
dist_89,simulation_1,128,0,20,4,shot,27,0,4.035858615331397,1.3027558523665845,1.7169624335067977,0.9570900212135589,full_warehouse
dist_90,simulation_1,128,1,29,3,gaussian_jpeg,94,0,6.271837074313662,1.116887932201598,1.3809592964637676,0.4623489279074757,warehouse
dist_91,simulation_1,128,1,23,5,gaussian,85,0,6.00117580353995,0.04465105337910194,1.4102988494850304,0.8617777760224079,warehouse_with_forklifts
dist_92,simulation_1,128,0,23,4,gaussian,84,0,6.955896232769414,0.09995617585945035,2.122988094713443,1.03316272841201,warehouse_with_forklifts
dist_93,simulation_1,128,0,20,4,shot,48,1,2.038874866020344,0.6064535721100247,2.7041802830500523,1.0384616083392921,full_warehouse
dist_94,simulation_1,128,0,30,10,gaussian,24,0,2.745503637579226,0.9717067160261653,1.9784908973119744,1.0260031414521635,warehouse_with_forklifts
dist_95,simulation_1,128,1,28,4,gaussian_jpeg,100,0,6.717094480235504,1.326921678068279,1.7835085185504178,0.4169374082920122,warehouse
dist_96,simulation_1,128,0,23,4,shot,32,0,1.8800883423376546,0.8098070246089633,2.4464499064386076,0.9845296264073208,full_warehouse
dist_97,simulation_1,128,0,28,9,gaussian,31,0,0.22850880904503035,1.2196841357839812,2.0676314089706027,1.0195060700429528,warehouse_with_forklifts
dist_98,simulation_1,128,0,29,10,gaussian,23,1,0.7560600912471915,1.1769790188526412,2.1961105296992747,0.7846118743303894,warehouse_with_forklifts
dist_99,simulation_1,128,0,19,3,shot,52,0,0.8582036948424978,0.3861043902476835,2.249939285915909,0.9540612098130394,full_warehouse
dist_100,simulation_1,128,1,25,6,gaussian,81,0,6.6535517770896115,0.14292569553387582,2.5578135080586732,0.7649520413732837,warehouse_with_forklifts
dist_101,simulation_1,128,0,31,8,gaussian,18,0,1.2509934990887703,1.054607738067158,2.310075150605263,0.9711354032557497,warehouse_with_forklifts
dist_102,simulation_1,128,1,31,4,gaussian_jpeg,100,0,3.8574589944400715,1.8846209978556492,1.764270611404116,0.08161237389031883,warehouse
dist_103,simulation_1,128,1,28,5,gaussian_jpeg,83,0,5.927780072621457,1.321062932690812,0.8894659676495971,0.3252083724885994,warehouse
dist_104,simulation_1,128,0,18,7,jpeg,21,1,11.555202169463914,0.20957534450920068,2.5260667101627767,0.9363434664729602,full_warehouse
dist_105,simulation_1,128,0,21,3,shot,42,0,3.624104132809207,0.5335123161109308,2.1090317895553143,0.9220544591464155,full_warehouse
dist_106,simulation_1,128,0,26,10,gaussian,20,0,0.7946933607969515,1.2015745516838128,2.033909362727913,0.9788411070864792,warehouse_with_forklifts
dist_107,simulation_1,128,0,19,3,shot,53,0,0.9539915578390333,0.7997322584254654,2.515280137847036,0.9429006449859,full_warehouse
dist_108,simulation_1,128,0,32,5,shot,33,3,11.87114925014304,0.3345513824931652,2.2591204516174845,0.9867099595909283,full_warehouse
dist_109,simulation_1,128,0,20,3,shot,47,0,0.8879287313584058,1.196960922438074,3.1294020144721193,0.9800744530324682,full_warehouse
dist_110,simulation_1,128,1,30,10,gaussian,43,3,10.974195615936223,1.95500568570507,2.2019931907733827,0.9250097308557712,warehouse_multiple_shelves
dist_111,simulation_1,128,1,26,7,gaussian_jpeg,96,0,8.891793897357113,1.6655851074604402,1.4136839175501346,0.13344661125694143,warehouse
