distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.image_min,metadata.synth_metadata_mean_std_synth_texture_4,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence
dist_218,simulation_1,128,0,33,10,1.720926373427443,0.2757442689425841,2.0028285626607842,0.17443567275242383,0,0,0,-1,2,4.09766967726918,9.026389102590176,0,0,-16,1.2851381858813045,fisheyePolynomial,180,68.1583839812698,0.8235438494476911,shot_jpeg,-1,76,1,2,full_warehouse,0,77,4.962122483386647,6,2.3094009611778654,nv_brick_reclaimed.jpg,nv_tile_hexagonal_green_white.jpg,nv_asphalt_yellow_weathered.jpg,0.30398125844728835,,1,0,1,0,79587,160043,440,180.72353071340694,0.27132894074848557,0.5163958502136737,2.3983076977440896,0.8244678067708265,1,0,2,1,2,2,2,1,2,3,2,2,4,2,1,2,2
dist_219,simulation_1,128,0,34,7,9.579933406129452,0.38760755531870583,2.4097538430823064,0.11200423698542523,0,0,0,-1,2,4.936228259108087,8.368055964246656,0,2,-11,2.0795510302007063,pinhole,180,109.36032197850072,3.748659286140961,jpeg,-1,77,0,5,full_warehouse,0,55,5.129588667354222,6,2.309400327621084,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.04288314502587377,,1,0,1,0,79600,348789,341,242.6957467863178,0.2511163350305211,0.48982107279313436,2.1888325602511283,0.7675956378284461,1,0,4,1,3,2,1,1,2,4,2,2,5,2,1,1,2
dist_220,simulation_1,128,1,31,7,8.602778795069305,0.5762338177731516,3.0800740707503818,0.21349367381214274,0,0,0,-1,2,4.082881273484802,6.615014310719027,0,1,-8,3.3629044458094417,pinhole,180,102.51579982640511,1.8212862353506063,gaussian,-1,94,1,3,full_warehouse,0,67,7.849680780976259,6,2.3094000886446135,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,nv_granite_tile.jpg,0.12010173007739125,,1,0,1,0,70543,257640,428,225.546077523943,0.26888803341629103,0.42063845187378107,2.3857227699072436,0.8111757242438125,1,0,3,1,4,2,1,1,2,3,2,2,6,2,1,1,2
dist_221,simulation_1,128,0,33,8,2.1028465400948013,0.7183300702784159,2.8503926820785837,0.16719992927169008,0,0,0,-1,2,4.998788730721349,6.35255750765169,0,1,-14,2.2988328220672534,pinhole,180,93.71673887101116,1.7461597826800368,gaussian,-1,61,1,3,warehouse,0,46,4.764825076076158,6,2.309400126800053,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.015549890396487472,,1,0,1,0,62457,343362,268,103.23923023831424,0.256800637356128,0.40174311263244294,2.0943182542666663,0.4330935330905185,1,0,2,1,3,3,2,1,2,3,3,2,3,2,1,1,2
dist_222,simulation_1,128,0,32,7,3.914522722406134,0.6814162119029767,2.9350638503883566,0.12077546712737429,0,0,0,-1,2,4.695286215473033,7.585441605831205,0,1,-13,2.6431948069713354,pinhole,180,78.00363896276114,3.612950572599477,gaussian,-1,92,1,3,full_warehouse,0,70,5.5114716686673395,6,2.3094002461120917,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.16797704439091862,,1,0,1,0,115221,283933,394,281.6119388643765,0.23366428189761768,0.4624050840447149,1.3355535707262423,0.7545703147865038,1,0,2,1,3,4,2,1,2,4,3,2,6,2,1,1,2
dist_223,simulation_1,128,0,31,9,3.3335304281607647,0.6706397421914314,2.2978924691672025,0.1461616305248002,0,0,0,-1,2,6.045343232242232,6.350720718935504,0,1,-7,0.7228347409893281,pinhole,180,88.19641519107093,2.234011211051722,gaussian,-1,84,1,4,full_warehouse,0,73,5.958253369646168,6,2.309400380555722,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.11153984777753691,,1,0,1,0,85647,290459,459,271.811214305889,0.22133302974916635,0.3933116647462426,2.434207728794405,0.7972811588093631,1,0,2,1,5,3,1,2,2,4,3,2,4,3,1,1,2
dist_224,simulation_1,128,0,35,10,2.0388767322817274,0.029098266001103316,1.8654680126258898,0.33729829976716774,0,0,0,-1,2,5.554056236249145,9.39049727443143,0,1,-16,3.3729070661563445,pinhole,180,95.42989448310102,0.41582293358108047,gaussian,-1,94,0,3,full_warehouse,0,67,5.950088256886226,6,2.3094009506067104,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,,0.11266195697445923,,1,0,1,0,112213,143303,410,267.5894557805339,0.2829900595104485,0.4870115600210653,1.6750079413185324,0.8095179403373649,1,0,2,1,4,3,1,1,2,2,3,2,3,3,1,1,2
dist_225,simulation_1,128,0,35,8,0.051054053549207605,0.3740434942035571,2.860702118418195,0.43198377007609373,0,0,0,-1,2,4.271983819419651,8.622302475131587,0,1,-13,3.5654215424043545,pinhole,180,103.78654964932696,1.3781864683017568,gaussian,-1,99,0,2,full_warehouse,0,109,7.840318676318647,6,2.309400977190752,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,0.11570377860335965,,1,0,1,0,85117,84429,239,32.72622108734558,0.23846585739341802,0.5096813853176675,2.3531120221702215,0.827089692418524,1,0,3,1,2,2,1,1,2,2,3,2,2,2,1,3,2
dist_226,simulation_1,128,0,26,8,5.597753047435716,0.45008477917085404,1.6796444492827765,0.3546239144899133,0,0,0,-1,2,3.40492312563666,9.58806378671232,0,2,-15,3.029432318506369,pinhole,180,105.73195708123303,3.522149002935845,gaussian_jpeg,-1,83,0,2,full_warehouse,0,108,9.892855449951028,6,2.3094002091147123,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_granite_tile.jpg,0.13279863001353778,,1,0,1,0,61726,391885,118,64.86292805528683,0.2518753026492519,0.39730799060032973,1.956172797064661,0.5476958272241289,1,0,2,1,2,3,1,2,2,4,2,2,2,3,1,1,2
dist_227,simulation_1,128,0,35,8,4.032048074891452,0.641417837813809,3.2048562006183543,0.20301045033499782,0,0,0,-1,2,4.187812625924348,9.073179192242254,0,4,-9,3.429966496076642,pinhole,180,89.99920891602633,0.12050656198255627,gaussian,-1,60,1,3,full_warehouse,0,49,5.721967542667754,6,2.3094003209484497,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,nv_asphalt_yellow_weathered.jpg,0.0511471744111554,,1,0,1,0,58047,385360,423,281.83305742271864,0.27133230472345726,0.5018408180518552,1.3155320929870649,0.5546859713315032,1,0,4,1,3,2,1,1,2,4,3,2,5,2,1,1,2
