distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_distractor_position_mean_x,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std
dist_109,simulation_1,128,1,shot,60,3,6.074579176571544,0.8345204746703034,1.0959984848616782,0.4978370244354665,warehouse_multiple_shelves,7,1.2829266919105389,1.7033572337794263,-1,180,96.44617182895637,3,3,1,3,2,14,3,1,3,3,4,9,1,6,2,0,warehouse,0,95,0,-1,8.968679718256858,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886823085723622,0.2886809208559464,0.28867712807274826,148278,112563,261,74.28017782552732
dist_110,simulation_1,128,0,jpeg,28,0,3.4324298594333937,1.242359724325142,2.9925562791754734,0.533885534613836,warehouse_multiple_shelves,2,3.018076221326446,0.6936429868989639,-1,180,62.19189126750216,3,2,1,1,2,21,4,1,1,1,4,10,1,2,3,0,warehouse,0,95,0,-1,8.019665157234906,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28868138773591684,0.2886763068680193,0.2886791963522147,161682,571750,92,195.96822158098942
dist_111,simulation_1,128,0,gaussian_jpeg,67,2,3.350662671832653,1.9571056391399209,1.465425836751233,0.21635029349398888,warehouse_multiple_shelves,10,4.845446968163834,0.7178621256641996,-1,180,79.17165753270797,3,3,1,1,2,16,4,2,2,2,2,4,3,5,3,0,warehouse,0,88,0,-1,8.758030152146025,0,1,0,nv_concrete_aged_with_lines.jpg,,,1,0,1,0,0.5,0.5,0.5,0.2886772799726886,0.2886767524878569,0.28868072316534643,119032,412529,390,91.66330328437887
dist_112,simulation_1,128,1,jpeg,90,2,11.458325028842328,0.14796142923676522,2.6187910825564646,0.3217734977902777,warehouse_multiple_shelves,2,4.816247789785669,0.41749884275656646,-1,180,63.9257423089251,3,2,1,3,2,28,5,2,1,2,3,5,1,2,4,0,warehouse,0,63,0,-1,8.66717992604601,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867875296797424,0.2886755673659746,0.28867912001347434,150282,487211,296,87.30130144247514
dist_113,simulation_1,128,0,jpeg,22,0,6.524876507164019,1.4965387511236155,2.2437224280125445,0.5322805933685638,warehouse_multiple_shelves,5,1.4122528626684765,0.9383557286408026,-1,180,53.02884559720886,2,2,1,2,2,13,5,1,2,2,3,13,1,3,2,0,warehouse,0,104,0,-1,6.911292281210537,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867756335813827,0.28867620005847217,0.2886840865998567,171392,553550,117,113.04401583485291
dist_114,simulation_1,128,1,shot,64,2,1.8472218428313285,0.8527471911450155,1.128189423617214,0.498996026656528,warehouse_multiple_shelves,10,3.0413630357996384,1.7732763315879225,-1,180,96.99449880523345,3,3,1,2,2,3,2,1,3,3,4,22,1,2,2,0,warehouse,0,99,0,-1,9.057005194643889,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886778968633762,0.2886753026776795,0.28867539757560456,98093,73423,301,143.0075765571948
dist_115,simulation_1,128,0,jpeg,40,1,3.9110161288286434,1.38764800037542,2.006298764360415,0.5416752702310649,warehouse_multiple_shelves,1,1.0490098517304265,1.3625869085873292,-1,180,53.64920834087394,2,2,1,3,2,13,6,1,2,2,4,12,1,1,4,0,warehouse,0,102,0,-1,9.190978816574544,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886757880533507,0.28867593903368544,0.28867663369501345,138311,475500,152,123.79454670523512
dist_116,simulation_1,128,1,shot,62,2,6.7745257906966865,0.3721953487624257,0.6560027184765072,0.4597894437004589,warehouse_multiple_shelves,8,3.3835026800692267,0.8600061442285718,-1,180,84.90107009954811,2,4,1,4,2,13,2,1,3,3,4,5,1,5,3,0,warehouse,0,99,0,-1,8.189490465188541,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867774679609076,0.28867817921616007,0.28867960550156996,120169,82070,341,193.68241684259755
dist_117,simulation_1,128,1,jpeg,45,1,11.119726678083456,0.42210162453620076,1.2753281673824812,0.1076290123519314,warehouse_multiple_shelves,7,1.3525832940925784,0.504676413090072,-1,180,101.66626324412776,5,2,1,3,2,15,5,1,2,3,2,5,1,4,4,0,warehouse,0,69,0,-1,8.996724922952438,0,1,0,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28869586191362595,0.28869919482605694,0.2886958794900734,119876,490253,374,90.63249129697847
dist_118,simulation_1,128,0,jpeg,44,0,2.5496751863132276,0.8875500223410138,1.7470886474945502,0.47220138429674835,warehouse_multiple_shelves,0,1.1008941391403146,0.5071702096964653,-1,180,45.607488045471165,3,3,1,2,2,20,4,1,1,2,4,17,2,3,3,0,warehouse,0,101,0,-1,9.34094044552986,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867615814479813,0.2886750582678022,0.28867833144019345,122855,582511,65,93.94672287383457
