distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled
dist_97,simulation_1,128,1.0802483902063083,0.49956771667833116,8,1.2831147921607744,180,96.64600283939778,106,0,-1,8.809844629223896,103643,171939,1
dist_98,simulation_1,128,1.3999842906207083,0.3453905560758821,10,1.2972927068850468,180,109.06289932084843,110,0,-1,9.649577936933097,78954,73742,1
dist_99,simulation_1,128,1.591313371494036,0.47907723192473933,10,1.6762637400254266,180,97.14542563509973,109,0,-1,9.664399440739352,86537,248389,1
dist_100,simulation_1,128,1.1760524945407391,0.48707455714198716,9,1.5631442704828054,180,109.13287915960692,105,0,-1,9.681597990979133,120660,113306,1
dist_101,simulation_1,128,0.8121806269073557,0.49722845480037003,8,2.2108155726269603,180,96.7759958089767,91,0,-1,8.691865115475288,54687,150309,1
dist_102,simulation_1,128,2.12827155197318,0.16087410446119327,3,3.685268564650457,180,45.35364391752199,95,0,-1,4.812327681521107,104840,308640,1
dist_103,simulation_1,128,0.5756868260159032,0.5294084866207611,8,0.977917347672154,180,96.83322103507128,107,0,-1,8.45593826391794,69888,100712,1
dist_104,simulation_1,128,0.9326081445922317,0.5670968554334137,10,1.7081861521818582,180,74.11530952047782,107,0,-1,9.624382883518768,78030,72961,1
dist_105,simulation_1,128,2.0664992390392167,0.12950293417150954,0,4.069018658532607,180,31.88674412889567,99,0,-1,3.934098873276689,126794,476587,1
dist_106,simulation_1,128,2.82744269077131,0.22082979482087514,4,5.004072753679661,180,32.065506967255985,111,0,-1,6.965253961246517,112921,469185,1
dist_107,simulation_1,128,3.114868311480032,0.22200202307408426,4,5.40214878503556,180,37.24753596202466,89,0,-1,7.686385845081384,141224,571975,1
dist_108,simulation_1,128,1.567116869917352,0.51195273547057,9,2.8824817705939134,180,94.14667043016085,96,0,-1,8.937855256723275,66360,97596,1
dist_109,simulation_1,128,1.9021977075729788,0.19572337784159322,3,3.937461241054935,180,47.415528147077495,112,0,-1,3.7909620975366627,123382,529060,1
dist_110,simulation_1,128,1.7194889401270723,0.4646882487031948,9,0.2963976258443959,180,89.74912525531745,106,0,-1,9.926785516671053,98748,84925,1
dist_111,simulation_1,128,0.7041910034383174,0.47671443831398863,9,0.5660486270490908,180,96.72429730697219,100,0,-1,8.662792925527011,125311,197506,1
dist_112,simulation_1,128,1.7975268571436285,0.19444055562994872,6,2.516854951338951,180,80.16445803778163,88,0,-1,9.994614495592295,165254,351401,1
dist_113,simulation_1,128,1.2059393838426895,0.3798896952077979,9,1.5526284615138612,180,86.84824469373044,87,0,-1,9.483687618238863,109204,93846,1
dist_114,simulation_1,128,0.8864796770432862,0.3851327078953194,9,1.9728109569181314,180,79.41419895108234,89,0,-1,9.615565099792807,120872,57393,1
dist_115,simulation_1,128,1.2558214691808234,0.4256031801635066,8,1.7442631946616707,180,104.54517212359934,101,0,-1,9.234706126830494,106698,267471,1
dist_116,simulation_1,128,0.8299189143261574,0.42164039909755957,10,2.8451446252884436,180,97.75447172362617,107,0,-1,8.95459937247629,74067,77771,1
dist_117,simulation_1,128,0.7662985873113948,0.4543602463997158,10,2.5620437479898124,180,95.96623804945007,100,0,-1,7.694831863993971,109137,170095,1
dist_118,simulation_1,128,1.9955581230934603,0.4528917482000921,8,0.17067859436239607,180,84.64051893341761,105,0,-1,9.555297294715464,90306,108867,1
dist_119,simulation_1,128,0.9851435217439519,0.5499294388008618,9,1.127539867536071,180,75.2805130560063,111,0,-1,8.466920512637822,135477,117592,1
dist_120,simulation_1,128,1.368866368485828,0.23028149006501478,8,3.584771448734283,180,101.69083538544857,76,0,-1,9.850836274964507,145627,338929,1
dist_121,simulation_1,128,0.8795086733322657,0.5714939301404373,9,2.091619224861099,180,60.12284280390624,103,0,-1,9.19234169025811,109329,129045,1
dist_122,simulation_1,128,1.9293697138183832,0.3599723968944305,9,0.9170701214739709,180,106.22180905377805,110,0,-1,9.23992962900504,115971,89930,1
dist_123,simulation_1,128,2.025619723124287,0.09737340743858836,4,5.623607701584431,180,18.79984207798365,95,0,-1,6.263297161181276,71190,508984,1
dist_124,simulation_1,128,1.747101297796791,0.5453097646737477,9,0.6364079825955451,180,104.11949935696255,106,0,-1,9.210491598163763,87452,237249,1
dist_125,simulation_1,128,1.4529319662147069,0.5690302070611979,10,1.266100611644731,180,96.84599707743115,99,0,-1,9.24703040462918,83496,169083,1
dist_126,simulation_1,128,1.3575778576860527,0.370612904637627,10,2.862304000960667,180,73.82597541108507,109,0,-1,8.538364526433082,118935,48150,1
dist_127,simulation_1,128,1.3654864122388535,0.524575947430616,9,0.8405649546202427,180,96.20237279183779,110,0,-1,9.251608311739488,62119,74093,1
dist_128,simulation_1,128,1.0510445282657215,0.45830573840839345,7,1.8382805593489486,180,97.13216081431464,110,0,-1,8.574653059388353,131678,58240,1
dist_129,simulation_1,128,1.2803179621021552,0.5630732987595735,10,2.4286709866182807,180,99.74556116209206,87,0,-1,9.29701222313239,98330,70265,1
dist_130,simulation_1,128,1.2953519979793549,0.4520497159521239,8,0.9331302381815585,180,100.24017164990023,101,0,-1,9.372117929139538,80959,133056,1
dist_131,simulation_1,128,1.2580586374418112,0.4037453571470616,10,2.8461483055006007,180,78.32338213662065,109,0,-1,8.086619847708501,67715,140140,1
dist_132,simulation_1,128,1.4448488570834597,0.49515138655841756,9,2.047400905473822,180,87.32917440825891,99,0,-1,9.317413108797531,134080,179141,1
dist_133,simulation_1,128,1.2192988601698664,0.44414680134093465,10,1.5555625626240817,180,59.352061709662976,111,0,-1,7.972655513811352,111319,145124,1
dist_134,simulation_1,128,0.9372061056595398,0.4769525477496711,9,1.3237780817669569,180,91.08390694478196,103,0,-1,8.231258448033447,111131,71011,1
dist_135,simulation_1,128,1.2941137771682818,0.4633706668649551,9,1.3982768166843509,180,95.57945596304559,80,0,-1,8.769691002627626,75043,103770,1
