distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std
dist_215,simulation_1,128,0.9464575282800085,0.3725702251556413,0,0,0,-1,2,2.853894051223424,6.586678814836267,0,4,-8,5.029102093428272,pinhole,180,95.5734666960662
dist_216,simulation_1,128,2.4559058137677807,0.14932386352092344,0,0,0,-1,2,1.6206269909851834,9.881178296445018,0,5,-7,5.153454291707149,pinhole,180,50.03208738122975
dist_217,simulation_1,128,1.8326549643396874,0.9779530912975396,0,0,0,-1,2,5.010220537751274,4.014445610100713,0,0,-1,2.2714799672088937,pinhole,180,99.11734488874097
dist_218,simulation_1,128,1.064352380875454,0.6407092418700386,0,0,0,-1,2,2.096652786331479,6.780895915004852,0,5,-9,5.786295899667277,pinhole,180,105.5904622236045
dist_219,simulation_1,128,1.6130182725891489,0.9508729942665275,0,0,0,-1,2,4.962927265911985,4.652802860111139,0,0,-10,3.1041231654084926,pinhole,180,105.28677718750122
dist_220,simulation_1,128,3.171314121146368,0.8694476199969486,0,0,0,-1,2,4.561971948818987,4.105260127968687,0,0,-6,3.760270008093089,pinhole,180,81.95459682251253
dist_221,simulation_1,128,1.267915166377144,0.9982672087420258,0,0,0,-1,2,6.182945897897684,3.8324063833496873,0,0,-7,1.551124183171779,pinhole,180,89.94711120705672
dist_222,simulation_1,128,2.387834493228714,0.6968247917310558,0,0,0,-1,2,2.6532345165935585,5.480882566438657,0,3,-2,2.0267823158122544,pinhole,180,89.80467081363211
dist_223,simulation_1,128,1.6348767599530316,0.36559094366685696,0,0,0,-1,2,2.5587440172847833,5.5518745250547115,0,4,-17,5.352148688740262,pinhole,180,100.4458110603763
dist_224,simulation_1,128,2.4793170101445057,0.44684725543854337,0,0,0,-1,2,3.0212028669139643,5.189638562170934,0,6,-1,4.747748396426349,pinhole,180,109.15189163496156
dist_225,simulation_1,128,1.6827923284292725,0.7483772513715525,0,0,0,-1,2,2.8329882487698264,7.011072787878866,0,3,-11,4.708778203441732,pinhole,180,103.04524555337517
dist_226,simulation_1,128,1.8873998351260048,0.9809630871776112,0,0,0,-1,2,5.907309813021952,3.482576977453799,0,1,-11,4.521166360399276,pinhole,180,96.13617740974132
dist_227,simulation_1,128,2.342066431391215,0.8138118650583657,0,0,0,-1,2,5.557252729899572,3.8878227459136454,0,1,-8,3.946097070649499,pinhole,180,67.01038606408466
dist_228,simulation_1,128,2.3090866346123318,1.0096233908622567,0,0,0,-1,2,4.6017954963652,3.738231201565503,0,1,-10,3.993838858003725,pinhole,180,78.9939231589894
dist_229,simulation_1,128,2.9658056374661075,0.132930840002282,0,0,0,-1,2,1.675164288413268,8.702057208418372,0,1,-5,0.9979445409971377,pinhole,180,82.83031813565489
dist_230,simulation_1,128,2.4304547757122386,0.9961630315246285,0,0,0,-1,2,5.500699304026383,4.5521850960892305,0,2,-11,4.307010334840138,pinhole,180,105.41149432632356
dist_231,simulation_1,128,1.3784962501781772,0.43802621728661845,0,0,0,-1,2,4.643914814076514,8.990908109428043,0,2,-4,0.8550453386631903,pinhole,180,85.91938247154349
dist_232,simulation_1,128,3.1717444047308527,0.48514432623529613,0,0,0,-1,2,1.8608385790855553,9.59636540254106,0,5,-4,4.197533899846457,fisheyePolynomial,180,60.84985149432244
dist_233,simulation_1,128,2.7472873286604136,0.7763160729418075,0,0,0,-1,2,5.838633580970396,3.4122706402870895,0,0,-9,3.855838625521807,pinhole,180,86.42259910608543
dist_234,simulation_1,128,2.5424276463156743,0.7085073895314722,0,0,0,-1,2,2.480545050651172,6.893109264640428,0,2,-5,2.1062051444995475,fisheyePolynomial,180,109.10127644328752
dist_235,simulation_1,128,2.8126772955493,0.25772949335428325,0,0,0,-1,2,2.392589074304884,6.1024316275431945,0,0,-3,5.59299938030319,pinhole,180,107.13291573638847
dist_236,simulation_1,128,2.0067419750442776,0.7875787795588964,0,0,0,-1,2,5.134535981284693,2.830837599840998,0,2,-10,4.390734088478898,pinhole,180,109.9666201125405
dist_237,simulation_1,128,2.3807341157289557,0.4121982206262533,0,0,0,-1,2,1.6947837995961605,8.59354794853508,0,5,-2,4.9731876424790595,pinhole,180,93.21478025418845
dist_238,simulation_1,128,2.251613126664238,0.9888606839889655,0,0,0,-1,2,5.1289575313629365,3.0211548317916592,0,2,-9,2.5814042497503875,pinhole,180,72.41171418426208
dist_239,simulation_1,128,1.8962458520530387,1.0114252590168438,0,0,0,-1,2,5.049824734732967,3.710873846131478,0,0,-4,4.595515610342511,pinhole,180,104.76982251554207
dist_240,simulation_1,128,0.9261520903671099,0.6840119221621888,0,0,0,-1,2,2.5055540147656212,5.541232139018794,0,5,-11,5.517025912823214,pinhole,180,106.41600571744014
dist_241,simulation_1,128,2.608097464612517,0.5325864804985561,0,0,0,-1,2,1.9960745530957882,5.46342970895502,0,1,-5,5.7067167387429745,pinhole,180,107.23337489895322
dist_242,simulation_1,128,2.2543640213637834,1.0222777086887986,0,0,0,-1,2,5.0098738935826095,4.082888477521003,0,0,-1,3.29310876411735,pinhole,180,108.80468199847017
dist_243,simulation_1,128,2.173000597129307,0.9107553271476334,0,0,0,-1,2,5.154850123271753,3.5738613387120655,0,0,-6,2.7634731619444404,pinhole,180,71.5813852500549
dist_244,simulation_1,128,3.0086058926746166,0.14845353450967524,0,0,0,-1,2,2.699479380626355,9.011781813639553,0,0,-9,1.4566485931772823,pinhole,180,106.85053781619068
dist_245,simulation_1,128,2.882958935071055,0.9243801048185435,0,0,0,-1,2,5.6931538762540495,3.07273283628623,0,1,-1,2.5405583194069385,pinhole,180,87.27991771480418
dist_246,simulation_1,128,1.5245654656381329,0.96157414274703,0,0,0,-1,2,5.791332597920618,3.406427588560751,0,2,-10,3.3948729210467303,pinhole,180,75.38688541808123
dist_247,simulation_1,128,2.4548141441736133,1.0174789820565728,0,0,0,-1,2,5.874480521297818,4.326697870407225,0,3,-8,2.415951204359209,pinhole,180,92.10001875613486
dist_248,simulation_1,128,1.6452472102953801,0.9771707395307974,0,0,0,-1,2,4.736801231885833,2.648274398917672,0,0,-8,2.2472525463396176,pinhole,180,83.84891609511146
dist_249,simulation_1,128,2.7287472349440973,0.40317873751213124,0,0,0,-1,2,2.0998478120149313,9.865801636852968,0,1,-8,0.5894271330201439,pinhole,180,105.84091537170275
dist_250,simulation_1,128,1.8733157715260538,0.8340708833513414,0,0,0,-1,2,5.243852737787167,2.792555123955162,0,0,-3,3.1541027813661344,pinhole,180,86.73898922438269
dist_251,simulation_1,128,2.900087185566248,0.16412852592149563,0,0,0,-1,2,2.60331904322562,8.435553284291007,0,1,-9,0.006883648152956168,pinhole,180,87.30521738986604
dist_252,simulation_1,128,2.5180389391777203,1.0263501074044914,0,0,0,-1,2,5.852157446022363,3.9092141396723217,0,0,-6,2.7413894581269007,pinhole,180,55.274965465129604
dist_253,simulation_1,128,2.6915133099958863,0.7817665344897473,0,0,0,-1,2,5.983603872360116,4.176893807841239,0,1,-3,4.131727027149446,pinhole,180,89.55539511007456
