distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std
dist_60,simulation_1,128,1.5545997343276265,0.5184005593568721,0,0,0,-1,2,5.598814390131,9.328420787881539,0,9,-3,4.4900509871685665,pinhole,180,83.89207685251326
dist_61,simulation_1,128,2.3631516959734626,0.14262345476791663,0,0,0,-1,2,1.8442233885696684,7.5095086352793645,0,0,-1,0.017084169392331046,pinhole,180,101.75153188154322
dist_62,simulation_1,128,2.248260645111244,0.1854978916547793,0,0,0,-1,2,2.4381969700438146,5.29345420644429,0,1,-1,0.543226014877697,pinhole,180,62.13612889434396
dist_63,simulation_1,128,2.2885524290155166,0.1650096060157652,0,0,0,-1,2,2.3694325807705896,8.087559514700809,0,0,-3,0.38600135951887904,pinhole,180,67.9609071588023
dist_64,simulation_1,128,2.683072610519986,0.141573486082355,0,0,0,-1,2,3.3178856747279344,6.75041779254082,0,0,-5,0.7111638809395571,pinhole,180,75.32513144652782
dist_65,simulation_1,128,1.5165217806125508,0.4517665573255003,0,0,0,-1,2,6.216513706194928,9.284466198476796,0,8,-4,5.909881034373821,pinhole,180,73.58120177542027
dist_66,simulation_1,128,3.1046676627572203,0.12796276066186651,0,0,0,-1,2,3.0568945299023285,7.091297166393025,0,0,-1,0.3605249021795867,pinhole,180,37.642366582723284
dist_67,simulation_1,128,2.138243603797858,0.5699892484784082,0,0,0,-1,2,5.537280661390525,8.819553096024858,0,10,-3,5.5347914203556945,pinhole,180,83.88608611715588
dist_68,simulation_1,128,1.0829452406088964,0.5871130612565116,0,0,0,-1,2,4.454133717216938,9.608022506783083,0,8,-3,5.9382296598505055,pinhole,180,72.67199884709181
dist_69,simulation_1,128,2.1256895014696697,0.1285973733997772,0,0,0,-1,2,2.0522273385619454,6.409246940819491,0,2,-1,1.019341754909001,pinhole,180,74.40303660680962
dist_70,simulation_1,128,1.7488017517726113,0.5841176637051637,0,0,0,-1,2,5.152866988618182,8.862799709333395,0,9,-4,5.0746791160383635,pinhole,180,89.71264763386552
dist_71,simulation_1,128,1.807118434178629,0.5750911699191936,0,0,0,-1,2,5.263379699641859,7.066624166007916,0,8,-5,5.968387129397673,pinhole,180,65.4199619511098
dist_72,simulation_1,128,2.614291489563679,0.14822312331368645,0,0,0,-1,2,2.7222966295948057,4.620417556259533,0,0,-3,1.1161733551992234,pinhole,180,62.57970350677181
dist_73,simulation_1,128,1.392560613842289,0.5717844249232784,0,0,0,-1,2,4.583900818465127,9.592664614525301,0,8,-1,4.992130673583926,pinhole,180,56.60828799682983
dist_74,simulation_1,128,2.1447854556601604,0.12108795775285774,0,0,0,-1,2,2.8350665756942983,6.103305134433226,0,0,-2,1.0827966679654386,pinhole,180,77.87842481697056
dist_75,simulation_1,128,1.3653896453643581,0.3297095153209272,0,0,0,-1,2,2.298320391403247,4.223603911872573,0,2,-4,5.285830686008926,pinhole,180,90.01363395226643
dist_76,simulation_1,128,1.6992032588998236,0.09669995724045699,0,0,0,-1,2,2.9314039581381315,6.908044234233531,0,0,-2,0.6034728878724047,pinhole,180,73.86653706175196
dist_77,simulation_1,128,0.9779137039659791,0.5076329793442277,0,0,0,-1,2,4.181077382644856,9.870224052917864,0,10,-2,5.277916444431906,pinhole,180,63.54010696276717
dist_78,simulation_1,128,1.1386302991131436,0.5460394944983327,0,0,0,-1,2,4.004741880431435,7.9729946228938635,0,10,-2,5.0927874168913485,pinhole,180,71.13721385441896
dist_79,simulation_1,128,0.8306666357185221,0.4774225437238344,0,0,0,-1,2,6.002502388138228,9.721214698834844,0,9,-1,5.641682586883213,pinhole,180,76.0855748817317
dist_80,simulation_1,128,2.3390244958025823,0.09988327725710339,0,0,0,-1,2,2.936390521325432,5.974434935303466,0,0,-3,1.8693939522781673,pinhole,180,85.47743495102989
dist_81,simulation_1,128,2.172424946579895,0.08202784444435002,0,0,0,-1,2,3.4867195015247727,6.614846695377935,0,0,-2,0.6391901857450181,pinhole,180,59.55293870734408
dist_82,simulation_1,128,1.7361143524645153,0.5300431605144063,0,0,0,-1,2,5.366724483976916,9.599464644124078,0,10,-2,5.7978650899555175,pinhole,180,63.86901820737496
dist_83,simulation_1,128,1.9346523661006019,0.5914716635614079,0,0,0,-1,2,5.681598427532082,9.636784490505605,0,9,-3,5.488676647083706,pinhole,180,78.74645968717252
dist_84,simulation_1,128,2.37842689182964,0.12784038626281635,0,0,0,-1,2,1.9658974554180841,7.255551147612556,0,1,-2,0.012789989464069187,pinhole,180,92.05837490029141
dist_85,simulation_1,128,1.2493840868961992,0.5442444457753747,0,0,0,-1,2,5.043958173108711,9.087790210973045,0,10,-3,5.947231373336322,pinhole,180,96.54149647134933
dist_86,simulation_1,128,1.656401724338169,0.5502100967842877,0,0,0,-1,2,5.700389182004132,9.874587893263154,0,8,-3,5.5467439444348585,pinhole,180,85.02509519618333
dist_87,simulation_1,128,2.4185635230311235,0.1359850025904975,0,0,0,-1,2,2.4600254133608512,7.386518337744684,0,0,-1,0.30361643932856985,pinhole,180,70.04264981878987
dist_88,simulation_1,128,2.1481659559914,0.09608617753258128,0,0,0,-1,2,4.089612008414948,5.754687647099418,0,1,-2,0.2485821169243546,pinhole,180,70.17069380160048
dist_89,simulation_1,128,1.5704052235783585,0.5275477433361966,0,0,0,-1,2,4.319701954932331,9.76072466468993,0,10,-1,4.887987581317256,pinhole,180,64.85456670351657
dist_90,simulation_1,128,1.4133912506240842,0.5533027375880714,0,0,0,-1,2,4.3154659732194265,8.426039240004663,0,8,-2,5.817373077099081,pinhole,180,63.71704723848147
dist_91,simulation_1,128,2.039665045782424,0.159434778579726,0,0,0,-1,2,1.8434121012697622,8.078317876630582,0,2,-3,0.9139667407627392,pinhole,180,64.22747024779395
dist_92,simulation_1,128,1.1468640323484718,0.5810020587300746,0,0,0,-1,2,5.8312407405344056,9.460714988701897,0,10,-2,5.8354506187271165,pinhole,180,75.70014198887489
dist_93,simulation_1,128,2.0890802189240993,0.5754461856220184,0,0,0,-1,2,4.35910438911025,9.299096966759281,0,8,-1,5.421374255355223,pinhole,180,52.299763386830705
dist_94,simulation_1,128,1.243125245988601,0.5170591438481547,0,0,0,-1,2,5.130826540620992,8.764816060852626,0,8,-3,5.610757283712352,pinhole,180,73.67770124799176
dist_95,simulation_1,128,2.355229052499617,0.09160311885683031,0,0,0,-1,2,2.6967208495205006,5.464254551676611,0,0,-2,0.42158825884150586,pinhole,180,80.50806191910316
dist_96,simulation_1,128,1.3319885315940265,0.49728544446952566,0,0,0,-1,2,5.912673574824813,9.850140260402473,0,9,-3,4.9946422633301175,pinhole,180,64.07469692718178
dist_97,simulation_1,128,1.3709979203416172,0.26767751957846736,0,0,0,-1,2,2.5913326020787686,5.179597786868603,0,1,-3,5.203220705747002,pinhole,180,102.01887507698592
dist_98,simulation_1,128,0.9923970230179633,0.4530539760758301,0,0,0,-1,2,5.006631165167032,8.583228700407352,0,10,-5,5.39991502501694,pinhole,180,90.77692447902777
