distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_roll_min,metadata.synth_metadata_synth_camera_tilt_min,metadata.synth_metadata_synth_camera_type,metadata.synth_metadata_synth_camera_yaw_min,metadata.synth_metadata_synth_clutter_level,metadata.synth_metadata_synth_env_name,metadata.synth_metadata_synth_num_distractor_instances,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max,metadata.synth_metadata_synth_camera_roll_max,metadata.synth_metadata_synth_camera_tilt_max,metadata.synth_metadata_synth_camera_yaw_max
dist_1139,simulation_1,128,2.7822862992558495,68,139739,193205,0.14621581828101346,1.5604262206356516,6,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_stone_red_hatch.jpg,1.488993826779129,,,nv_tile_hexagonal_various.jpg,,nv_gravel_grey_leaves.jpg,,,,,1,-1,-8,pinhole,-4,-0.6856041507239564,warehouse,44,5.5,88,0.6258602274228817,7.76078111987812,2.339757508823891,11,3,76
dist_1140,simulation_1,128,2.2581250122912824,62,122941,188244,0.04186167557329941,0.3639461857687048,5,2,360,nv_marble.jpg,nv_marble.jpg,nv_fireplace_wall.jpg,0.5166791616409087,,nv_concrete_aged_with_lines.jpg,nv_carpet_abstract_pattern.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_wood_siding_weathered_green.jpg,,,,1,-4,-30,pinhole,-16,-0.8798992243383151,,49,4.387163225852777,93,0.33417328965912035,2.194816284852472,2.3073459095221938,-1,1,8
dist_1141,simulation_1,128,0.3002688434691362,75,120500,517237,0.08921454966823072,0.6580197545176266,4,2,360,nv_asphalt_yellow_weathered.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,0.9832441591868772,nv_brick_red_stacked.jpg,nv_brick_red_stacked.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,nv_wooden_wall.jpg,nv_plastic_blue.jpg,,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,1,-5,-28,pinhole,-14,0.38912998957316636,,21,4.309040468637214,83,0.5540517840780741,2.898275339502346,1.20035120138428,2,-17,37
dist_1142,simulation_1,128,2.6737670630653576,52,141763,191961,0.1542404442037106,1.9003726064481774,6,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_brick_red_stacked.jpg,0.5236148039416066,,nv_brick_red_stacked.jpg,,,,nv_gravel_grey_leaves.jpg,,,nv_wood_siding_weathered_green.jpg,1,-1,-9,pinhole,-6,0.5734419323664268,warehouse_with_forklifts,44,5.5,79,0.5616048279133419,2.5108736273056773,0.8026779584883281,15,-5,77
dist_1143,simulation_1,128,1.5221057778603133,88,114816,303957,0.13266034389050008,0.8972917258841391,4,2,360,nv_stucco_red_painted.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,0.6189847522505483,nv_plastic_blue.jpg,nv_fireplace_wall.jpg,nv_carpet_abstract_pattern.jpg,nv_stucco_red_painted.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,,,nv_wood_siding_weathered_green.jpg,1,-3,-3,pinhole,-12,-0.7501809759496751,,22,5.199819913218617,107,0.7496076597400229,5.4777900234357855,1.5304779022905048,4,3,29
dist_1144,simulation_1,128,0.6613406618475974,72,106005,502459,0.15477740177584703,2.9009132711324246,5,2,360,nv_animalfur_pattern_greys.jpg,nv_artificialgrass_green.jpg,nv_fireplace_wall.jpg,0.30807446187495147,,nv_tile_square_green.jpg,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,nv_wooden_wall.jpg,nv_brick_reclaimed.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,1,-1,-18,pinhole,-1,-0.09279578423505896,,18,3.366909555786938,81,0.5442741597614984,4.850810901779302,1.3128175320621915,20,-17,59
dist_1145,simulation_1,128,0.5944007487819588,60,143403,641166,0.4696989916793701,5.005253958423195,4,2,360,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,0.9660363208688857,nv_plastic_blue.jpg,nv_fireplace_wall.jpg,nv_wood_shingles_brown.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,nv_plastic_blue.jpg,,,,1,-6,-4,pinhole,-9,-0.35300249103153425,,37,1.5840837332658992,91,0.7324718844303995,10.232257680723883,1.0435249014854884,7,5,108
dist_1146,simulation_1,128,0.13959939243356512,68,88055,255704,0.1299507062405334,1.138136879841929,3,2,360,nv_granite_tile.jpg,nv_granite_tile.jpg,nv_wood_shingles_brown.jpg,2.117732964587314,,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_carpet_abstract_pattern.jpg,nv_brick_reclaimed.jpg,nv_brick_red_stacked.jpg,,,,1,-7,-8,pinhole,-2,-0.5201008620924934,warehouse_with_forklifts,22,5.445155929856105,69,0.6913074146304017,6.587168068551495,5.262018388580833,-1,-3,39
dist_1147,simulation_1,128,0.556930060296025,66,125929,444394,0.24891218959140538,2.3809157971761765,6,2,360,nv_wooden_wall.jpg,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,2.205895078558936,,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_siding_weathered_green.jpg,,,nv_brick_reclaimed.jpg,,1,-2,-13,pinhole,-3,0.08641040560912905,,57,2.8317048986829234,88,1.0,5.066333868137257,2.7130571219114223,14,-6,77
dist_1148,simulation_1,128,1.8561541468296876,79,94094,255344,0.14670346483576094,3.1660223868375628,5,2,360,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_red_hatch.jpg,0.02918235298214472,nv_plastic_blue.jpg,nv_stone_red_hatch.jpg,nv_brick_reclaimed.jpg,nv_stucco_red_painted.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,nv_brick_reclaimed.jpg,1,-6,-2,pinhole,-19,0.001917508289177805,,19,2.135478432227172,113,0.42989546464475703,6.452655320824485,0.9341171215926614,0,5,67
dist_1149,simulation_1,128,0.4775143350736504,49,113478,502028,0.25811492885315035,4.896611448075996,3,2,360,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg,nv_asphalt_yellow_weathered.jpg,0.998472508464782,,nv_stone_red_hatch.jpg,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_gravel_grey_leaves.jpg,nv_wooden_wall.jpg,,,,1,-6,-12,pinhole,-19,-0.6502376960745311,,76,0.6403548948741344,76,0.4922089907579568,6.97260910648723,1.7902206416046373,-1,3,-1
dist_1150,simulation_1,128,0.671976606661994,83,56655,255639,0.10424960937551567,0.24722222326910506,5,2,360,nv_marble.jpg,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,1.9247853728364788,,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_plastic_blue.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,,,,1,-1,-8,pinhole,-8,-0.7723480969461588,,44,4.49395398751418,106,0.20000000298023224,4.522796903459106,3.229384004163058,12,3,28
dist_1151,simulation_1,128,1.8780294841497431,62,107942,574582,0.3375015405352457,3.5580940215281824,6,2,360,nv_marble.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,1.5420432868271057,,nv_concrete_aged_with_lines.jpg,nv_tile_hexagonal_various.jpg,nv_wooden_wall.jpg,nv_brick_red_stacked.jpg,,,nv_brick_reclaimed.jpg,,1,-9,-19,pinhole,-6,-0.7253461575002879,,10,3.545890259468578,72,0.8557041578150044,5.33779264288174,3.680252191335339,-1,-2,30
dist_1152,simulation_1,128,0.5012328166196884,86,86577,591566,0.0746044181042587,0.5783151556270102,5,2,360,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_tile_square_green.jpg,1.8827760724014382,,nv_tile_hexagonal_green_white.jpg,nv_wooden_wall.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,,1,-1,-5,pinhole,-17,0.38715094096957325,,55,4.960123449132799,110,0.2389269583794988,3.4740013212878003,3.166448430056539,14,5,6
dist_1153,simulation_1,128,0.7758692704473625,60,123979,413726,0.2919421451894963,3.3653819123962005,6,2,360,nv_marble.jpg,nv_tile_square_green.jpg,nv_tile_hexagonal_green_white.jpg,1.2890305957192922,,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_stucco_smooth_blue.jpg,nv_wood_siding_weathered_green.jpg,,,,1,-1,-11,pinhole,0,-0.8023245735274818,full_warehouse,101,1.4056823860424879,93,0.7212852302331754,3.49508848863584,2.8569872179596016,5,5,159
dist_1154,simulation_1,128,1.7460750605763893,65,123606,283016,0.19877497470977046,0.03707967554601108,6,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_fireplace_wall.jpg,1.2906243050560051,,,nv_stucco_smooth_blue.jpg,nv_wooden_wall.jpg,nv_plastic_blue.jpg,nv_gravel_grey_leaves.jpg,,,,1,-4,-24,pinhole,-1,-0.8416256972641261,warehouse,39,5.5,77,0.6868806196686593,2.375599258694869,2.5790449874224866,2,-14,9
dist_1155,simulation_1,128,1.373185206716608,81,89833,475516,0.05634986737784618,0.33827935510423857,5,2,360,nv_concrete_aged_with_lines.jpg,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,1.258856882591888,,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,nv_gravel_grey_leaves.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,,1,-1,-9,pinhole,-11,-0.8032118323536404,warehouse_multiple_shelves,15,5.114068823697153,85,0.48901456696082074,1.2640524476633508,3.477841605913672,1,5,17
dist_1156,simulation_1,128,1.48231764214917,81,99298,472519,0.17444210902793908,0.8082274887659792,5,2,360,nv_marble.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,0.9850620485744194,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,nv_brick_reclaimed.jpg,,1,-2,-7,pinhole,-7,-0.5694135990872313,,22,5.5,107,0.4708688569741384,2.7810891186164364,3.168090285249452,0,5,37
dist_1157,simulation_1,128,0.6315764030006324,60,80238,347206,0.3906365382287844,1.423423473342646,6,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,2.340285721542682,,nv_brick_red_stacked.jpg,nv_wood_shingles_brown.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,,nv_plastic_blue.jpg,,,1,-12,-5,pinhole,-24,-0.42026526888498505,,12,2.948456164757615,84,0.6990879668199221,1.5693025987444857,5.047138769913374,-1,3,108
