distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_roll_min,metadata.synth_metadata_synth_camera_tilt_min,metadata.synth_metadata_synth_camera_type,metadata.synth_metadata_synth_camera_yaw_min,metadata.synth_metadata_synth_clutter_level,metadata.synth_metadata_synth_env_name,metadata.synth_metadata_synth_num_distractor_instances,metadata.synth_metadata_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_synth_dist_BarelPlastic_instances,metadata.synth_metadata_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_synth_dist_BottlePlastic_instances,metadata.synth_metadata_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_synth_dist_Bucket_diversity,metadata.synth_metadata_synth_dist_Bucket_instances,metadata.synth_metadata_synth_dist_Bucket_occurrence,metadata.synth_metadata_synth_dist_CardBox_diversity,metadata.synth_metadata_synth_dist_CardBox_instances,metadata.synth_metadata_synth_dist_CardBox_occurrence,metadata.synth_metadata_synth_dist_CratePlastic_diversity,metadata.synth_metadata_synth_dist_CratePlastic_instances,metadata.synth_metadata_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_synth_dist_PushCart_diversity,metadata.synth_metadata_synth_dist_PushCart_instances,metadata.synth_metadata_synth_dist_PushCart_occurrence,metadata.synth_metadata_synth_dist_RackPile_diversity,metadata.synth_metadata_synth_dist_RackPile_instances,metadata.synth_metadata_synth_dist_RackPile_occurrence,metadata.synth_metadata_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_synth_dist_TrafficSigns_instances,metadata.synth_metadata_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max,metadata.synth_metadata_synth_camera_roll_max,metadata.synth_metadata_synth_camera_tilt_max,metadata.synth_metadata_synth_camera_yaw_max
dist_437,simulation_1,128,1.0142851632745353,69,111079,351750,0.26797829359224085,1.845912690539494,3,2,360,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,nv_asphalt_yellow_weathered.jpg,0.994211624614056,,nv_fireplace_wall.jpg,nv_tile_hexagonal_various.jpg,nv_stone_painted_grey.jpg,nv_rubber_woven_charcoal.jpg,,,,,1,-2,-17,pinhole,-19,0.9292339405015312,full_warehouse,69,3,3,2,2,19,4,1,2,2,3,17,2,2,11,2,1,2,1,1,2,2,2,4,2,2.676535957491467,76,0.5130990972573466,5.931010601574517,2.6920198841793495,4,5,360
dist_438,simulation_1,128,0.6612421822425586,87,83154,691534,0.08313120681377555,1.8646413901169954,3,2,360,nv_rubber_woven_charcoal.jpg,nv_granite_tile.jpg,nv_concrete_aged_with_lines.jpg,0.9636968899819601,,,nv_stucco_red_painted.jpg,nv_stucco_red_painted.jpg,,,,,nv_gravel_grey_leaves.jpg,1,-7,-27,pinhole,-28,1.7646396763291894,full_warehouse,42,2,3,2,2,7,4,1,2,2,3,8,2,2,8,2,1,4,1,1,3,1,2,4,2,2.074648016195372,120,1.0,7.376640653781381,3.4314847198972527,-1,-25,20
dist_439,simulation_1,128,1.7715538244267652,66,123540,216415,0.09737396526683831,0.20591923407419133,4,2,360,nv_concrete_aged_with_lines.jpg,nv_fireplace_wall.jpg,nv_stucco_smooth_blue.jpg,1.2572096664768486,,nv_concrete_aged_with_lines.jpg,,,nv_wooden_wall.jpg,,,,,1,-13,-7,pinhole,-14,0.2956017409135925,warehouse,55,2,3,3,2,13,3,1,1,2,4,5,2,2,2,2,1,2,1,1,2,1,2,2,2,4.583836122767917,97,0.5096659309550636,1.299080349322312,1.6597769295911484,-1,5,150
dist_440,simulation_1,128,0.7825920500014626,65,109008,569595,0.25895537863485735,0.9967975219480028,3,2,360,nv_asphalt_yellow_weathered.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_red_stacked.jpg,0.49255431395365945,nv_brick_red_stacked.jpg,,nv_fabric_square_grid.jpg,nv_asphalt_yellow_weathered.jpg,nv_brick_reclaimed.jpg,,,nv_brick_reclaimed.jpg,,1,-3,-12,pinhole,-4,0.41833728522519753,full_warehouse,37,3,6,3,2,10,3,1,2,2,4,4,2,2,21,3,1,1,1,1,5,1,2,6,2,1.0113764471048925,83,0.682310102279176,7.785821293114011,0.8597488124721095,3,5,341
dist_441,simulation_1,128,0.35100153761014286,89,39743,571340,0.09882260425905591,0.2898225449984049,0,2,360,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_stucco_smooth_blue.jpg,2.830498895625927,,,nv_gravel_grey_leaves.jpg,nv_brick_reclaimed.jpg,nv_carpet_abstract_pattern.jpg,nv_asphalt_yellow_weathered.jpg,,,,1,-6,-9,pinhole,-23,0.04005083241319729,warehouse,19,2,3,2,2,4,3,1,3,2,3,4,2,2,3,2,1,1,2,1,1,1,2,3,2,5.218656973799354,91,0.20000000298023224,0.48800785779293965,5.030613563859333,4,-6,-1
dist_442,simulation_1,128,1.331561497598213,70,71502,182362,0.06639345735684053,1.3683673958604385,1,2,360,nv_concrete_aged_with_lines.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,0.9133518069548727,,nv_stucco_smooth_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_rubber_woven_charcoal.jpg,nv_plastic_blue.jpg,nv_wooden_wall.jpg,,,,1,-3,-10,pinhole,-5,0.6839945480700536,warehouse,31,2,12,2,2,13,3,1,1,2,3,7,2,3,4,2,1,3,1,1,2,2,2,7,2,4.948063983328835,120,0.212664407018675,3.4591553247440814,1.3893429227055076,11,5,21
dist_443,simulation_1,128,0.2590202804527506,79,83754,555612,0.17854939982404366,0.7981168621440601,1,2,360,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,nv_tile_square_green.jpg,1.4408081670736936,,nv_stone_red_hatch.jpg,,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,nv_plastic_blue.jpg,1,-2,-14,pinhole,-13,0.5360309360186208,warehouse_multiple_shelves,14,3,16,2,3,5,4,1,1,2,3,17,2,2,2,2,1,3,1,1,1,1,2,3,2,4.382321418694268,103,0.6886410697485386,4.870179842073316,3.046030023146132,13,5,32
dist_444,simulation_1,128,1.053075566075353,88,98025,477174,0.09516249999340282,2.135259911454483,1,2,360,nv_marble.jpg,nv_marble.jpg,nv_tile_square_green.jpg,2.46860515755213,,,nv_asphalt_yellow_weathered.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,nv_gravel_grey_leaves.jpg,1,-1,-16,pinhole,-10,0.8259797984283029,full_warehouse,35,2,6,2,2,9,3,1,1,2,3,31,2,2,2,2,1,2,1,1,4,1,2,7,2,5.5,118,0.20000000298023224,6.835264815524403,4.162308688975386,2,0,95
dist_445,simulation_1,128,2.186289654486593,83,120050,289320,0.05445859515365555,3.3588648310387135,0,2,360,nv_wooden_wall.jpg,nv_carpet_abstract_pattern.jpg,nv_tile_square_green.jpg,1.864886735144729,,nv_stucco_smooth_blue.jpg,nv_stucco_red_painted.jpg,nv_rubber_woven_charcoal.jpg,nv_rubber_woven_charcoal.jpg,nv_wooden_wall.jpg,,,,1,-5,-13,pinhole,-21,0.8678818231779951,warehouse_with_forklifts,68,2,6,2,2,5,3,1,3,2,3,3,2,3,3,2,1,1,1,1,2,2,2,2,2,2.7765498706438896,108,0.7073884462655082,8.251883182806436,4.101601216597725,0,5,-1
dist_446,simulation_1,128,1.873390962011718,39,103570,454098,0.17085862132205784,3.699250547231987,3,2,360,nv_asphalt_yellow_weathered.jpg,nv_tile_hexagonal_various.jpg,nv_concrete_aged_with_lines.jpg,0.9595282574378889,,nv_plastic_blue.jpg,nv_fabric_square_grid.jpg,nv_gravel_grey_leaves.jpg,nv_gravel_grey_leaves.jpg,,,,nv_brick_red_stacked.jpg,1,-1,-5,pinhole,-22,0.23300579521443573,warehouse_multiple_shelves,29,2,5,2,2,9,3,1,1,2,3,12,2,2,19,2,1,5,1,1,4,1,2,2,2,2.3661587457465174,59,0.43314410855221275,10.114764950686801,3.1922434289926795,2,0,81
