distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_roll_min,metadata.synth_metadata_synth_camera_tilt_min,metadata.synth_metadata_synth_camera_type,metadata.synth_metadata_synth_camera_yaw_min,metadata.synth_metadata_synth_clutter_level,metadata.synth_metadata_synth_env_name,metadata.synth_metadata_synth_num_distractor_instances,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max,metadata.synth_metadata_synth_camera_roll_max,metadata.synth_metadata_synth_camera_tilt_max,metadata.synth_metadata_synth_camera_yaw_max
dist_1139,simulation_1,128,1.2949873176186948,64,123796,342595,0.12817871826959398,4.211906910249931,4,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_wood_shingles_brown.jpg,0.5941007326013251,,nv_brick_reclaimed.jpg,nv_fabric_square_grid.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg,nv_brick_reclaimed.jpg,,,,1,-3,-12,pinhole,-13,0.06828304994144418,warehouse,11,1.6070800649238082,93,0.7971177971397252,9.178942838660152,4.2279864415918045,0,-2,-1
dist_1140,simulation_1,128,1.310889695693271,84,73130,441545,0.04186167557329941,1.3696269639518608,3,2,360,nv_stucco_red_painted.jpg,nv_carpet_abstract_pattern.jpg,nv_fireplace_wall.jpg,0.5166791616409087,,nv_concrete_aged_with_lines.jpg,nv_carpet_abstract_pattern.jpg,nv_brick_reclaimed.jpg,nv_stone_painted_grey.jpg,,,,,1,-4,-30,pinhole,-16,0.660143995266132,full_warehouse,79,2.9907255285669088,115,0.904358828294625,5.090933400949481,2.639530941466212,-1,1,8
dist_1141,simulation_1,128,1.5083623391744214,82,98859,448672,0.10565968104468622,2.2421578649859026,2,2,360,nv_concrete_aged_with_lines.jpg,nv_carpet_abstract_pattern.jpg,nv_tile_square_green.jpg,0.8119300033689405,nv_brick_reclaimed.jpg,nv_stucco_smooth_blue.jpg,,nv_stucco_red_painted.jpg,,,,,,1,-5,-11,pinhole,-10,0.7548893503159038,full_warehouse,8,1.591501561748665,102,1.0,2.7668039475438406,1.3967590560157237,-1,5,72
dist_1142,simulation_1,128,3.063760940095591,67,89372,353269,0.11516076257533762,0.1285600474569538,6,2,360,nv_marble.jpg,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,0.30260158484319993,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_stucco_red_painted.jpg,nv_concrete_aged_with_lines.jpg,,,,,,1,-2,-20,pinhole,-5,0.995642316553889,,41,3.135645003535902,72,0.47944470043227,5.909529017987957,2.497692464927532,-1,-13,148
dist_1143,simulation_1,128,1.351930205567922,68,76735,615445,0.21215227404434886,0.314852590547122,5,2,360,nv_marble.jpg,nv_gravel_grey_leaves.jpg,nv_gravel_grey_leaves.jpg,0.7309342319426555,,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_wood_shingles_brown.jpg,nv_gravel_grey_leaves.jpg,nv_brick_red_stacked.jpg,,,,1,-4,-10,pinhole,-11,-0.5676002086428132,,17,5.5,92,0.39839825090445075,0.5214054262909837,0.8631821465058677,9,-6,13
dist_1144,simulation_1,128,2.2193063074404367,71,148931,165516,0.11863540954238647,0.567098636176607,5,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_brick_red_stacked.jpg,0.6822851679822103,,nv_rubber_woven_charcoal.jpg,nv_tile_hexagonal_various.jpg,nv_carpet_abstract_pattern.jpg,nv_brick_reclaimed.jpg,nv_wooden_wall.jpg,,,,1,-3,-1,pinhole,-5,-0.712794592671057,full_warehouse,50,2.7157004515350014,102,0.20000000298023224,1.3869095913573894,2.160346173057424,7,5,26
dist_1145,simulation_1,128,1.7239366138282566,52,124472,482021,0.06874826803750286,0.23545931846966595,5,2,360,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,nv_carpet_abstract_pattern.jpg,1.23134319205895,,nv_wood_shingles_brown.jpg,nv_fabric_square_grid.jpg,nv_wood_siding_weathered_green.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,,nv_plastic_blue.jpg,nv_brick_red_stacked.jpg,1,-7,-10,pinhole,0,-0.6679752137025763,,37,5.178689036519855,68,0.6388461223975789,4.335799403751395,1.2660111024120377,2,5,41
dist_1146,simulation_1,128,3.268384005323717,65,109194,461042,0.029756583397703186,1.1614359388021411,6,2,360,nv_animalfur_pattern_greys.jpg,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,1.0073969035417423,,nv_tile_hexagonal_green_white.jpg,nv_tile_hexagonal_various.jpg,nv_carpet_abstract_pattern.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,,,nv_gravel_grey_leaves.jpg,1,-2,-2,pinhole,-9,-0.4746681030578729,,30,4.3480527114383145,94,0.2669016151287194,3.7743714533855117,1.080943766171834,17,5,165
dist_1147,simulation_1,128,0.5088509860919618,61,133573,499749,0.28366740480860253,2.3809157971761765,5,2,360,nv_wooden_wall.jpg,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,2.2048482449463136,,nv_fireplace_wall.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_plastic_blue.jpg,,,nv_brick_reclaimed.jpg,,1,-2,-13,pinhole,-3,0.08641040560912905,,57,1.8097635491221258,88,0.9979452047031797,5.066333868137257,2.775243874384559,14,-6,77
dist_1148,simulation_1,128,0.5106595768090723,56,93028,457325,0.1396225718545002,5.021350682250764,4,2,360,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_red_hatch.jpg,0.05881191581974887,nv_plastic_blue.jpg,nv_stone_red_hatch.jpg,nv_brick_reclaimed.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,,1,-6,-2,pinhole,-19,0.001917508289177805,,19,0.7638281293147993,114,0.8338965849606427,8.307983616237687,0.9087345215828908,0,5,67
