distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_roll_min,metadata.synth_metadata_synth_camera_tilt_min,metadata.synth_metadata_synth_camera_type,metadata.synth_metadata_synth_camera_yaw_min,metadata.synth_metadata_synth_clutter_level,metadata.synth_metadata_synth_env_name,metadata.synth_metadata_synth_num_distractor_instances,metadata.synth_metadata_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_synth_dist_BarelPlastic_instances,metadata.synth_metadata_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_synth_dist_BottlePlastic_instances,metadata.synth_metadata_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_synth_dist_Bucket_diversity,metadata.synth_metadata_synth_dist_Bucket_instances,metadata.synth_metadata_synth_dist_Bucket_occurrence,metadata.synth_metadata_synth_dist_CardBox_diversity,metadata.synth_metadata_synth_dist_CardBox_instances,metadata.synth_metadata_synth_dist_CardBox_occurrence,metadata.synth_metadata_synth_dist_CratePlastic_diversity,metadata.synth_metadata_synth_dist_CratePlastic_instances,metadata.synth_metadata_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_synth_dist_PushCart_diversity,metadata.synth_metadata_synth_dist_PushCart_instances,metadata.synth_metadata_synth_dist_PushCart_occurrence,metadata.synth_metadata_synth_dist_RackPile_diversity,metadata.synth_metadata_synth_dist_RackPile_instances,metadata.synth_metadata_synth_dist_RackPile_occurrence,metadata.synth_metadata_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_synth_dist_TrafficSigns_instances,metadata.synth_metadata_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max,metadata.synth_metadata_synth_camera_roll_max,metadata.synth_metadata_synth_camera_tilt_max,metadata.synth_metadata_synth_camera_yaw_max
dist_840,simulation_1,128,0.3053316848781714,67,98510,343525,0.22409164431906028,0.9580238265828049,0,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_fireplace_wall.jpg,2.407258960354841,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,nv_stucco_smooth_blue.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,,,nv_brick_reclaimed.jpg,1,-4,-18,pinhole,-7,1.0213446888155218,warehouse,63,2,5,2,2,5,3,1,2,2,4,13,3,2,7,2,1,5,1,1,3,1,2,2,2,2.2922879775589706,87,0.960874976226005,4.797319015778984,3.234178504523009,4,-10,123
dist_841,simulation_1,128,0.5924596320108115,79,82991,581240,0.1653001739566759,2.2145400437588063,0,2,360,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,nv_bamboo_desktop.jpg,0.5707806613986801,,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,,nv_brick_reclaimed.jpg,,,nv_plastic_blue.jpg,1,-1,-5,pinhole,-13,0.5117068070172023,warehouse_multiple_shelves,39,3,2,2,2,11,3,1,2,2,3,7,2,2,5,2,1,2,1,1,2,1,2,4,2,2.78024422698118,120,1.0,5.681515088695564,2.856508203000856,4,5,39
dist_842,simulation_1,128,0.33627631025460836,85,85558,629726,0.17295274983852515,0.22964428402369536,1,2,360,nv_concrete_aged_with_lines.jpg,nv_fireplace_wall.jpg,nv_tile_hexagonal_green_white.jpg,2.812412152609146,,nv_fabric_square_grid.jpg,nv_wooden_wall.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,,,,,1,-13,-8,pinhole,-14,0.2956017409135925,full_warehouse,55,2,3,3,2,13,3,1,1,2,4,5,2,2,2,2,1,2,1,1,2,1,2,2,2,5.1402853380079705,120,0.5732630030036092,2.9385512174326203,4.598579377282973,-1,5,150
dist_843,simulation_1,128,1.3287385705608283,90,68586,243713,0.20838209891284865,1.597948941209872,0,2,360,nv_marble.jpg,nv_stone_painted_grey.jpg,nv_wood_shingles_brown.jpg,1.5537786646716218,,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,nv_brick_reclaimed.jpg,,,,,,1,-4,-17,pinhole,-5,0.6952400456926568,full_warehouse,25,2,4,2,3,14,4,1,1,2,3,13,2,2,10,2,1,3,2,1,3,1,2,5,2,5.338052188961647,120,0.6645124176299124,4.964515906388952,4.870984840444653,-1,-5,40
dist_844,simulation_1,128,1.4846029029337904,71,76824,259828,0.38425775866105477,1.0542334706799994,2,2,360,nv_wooden_wall.jpg,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,0.36561545173580307,,nv_concrete_aged_with_lines.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,nv_asphalt_yellow_weathered.jpg,,,,nv_wood_siding_weathered_green.jpg,1,-1,-17,pinhole,-7,0.12936261007479088,warehouse_with_forklifts,22,2,4,2,2,8,4,1,1,2,4,12,2,2,5,2,1,4,2,1,1,1,2,3,2,2.568508882307948,111,0.7841295377747233,4.715388528093161,3.5881042689752105,8,-4,49
dist_845,simulation_1,128,0.7994138109644163,73,99950,404148,0.10831554906787585,0.46885872795056976,1,2,360,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,nv_tile_hexagonal_various.jpg,1.7597281280824153,,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,nv_brick_reclaimed.jpg,,nv_brick_red_stacked.jpg,,,,1,-3,-16,pinhole,-2,0.2822459310538846,warehouse_with_forklifts,35,2,14,2,3,13,3,1,1,2,3,17,3,3,2,2,1,2,1,1,3,1,2,5,2,5.154476145043576,82,0.3832141759189984,0.7183783151636789,2.1346034871961894,6,-2,98
dist_846,simulation_1,128,0.7190900618139902,66,36017,328185,0.029269480940492143,0.09134131339101215,0,2,360,nv_marble.jpg,nv_carpet_abstract_pattern.jpg,nv_tile_square_green.jpg,2.0514171357531805,,nv_concrete_aged_with_lines.jpg,nv_wood_siding_weathered_green.jpg,nv_plastic_blue.jpg,nv_carpet_abstract_pattern.jpg,,,,nv_brick_red_stacked.jpg,1,-2,-30,pinhole,-19,0.3059651015755849,warehouse_multiple_shelves,19,2,5,3,2,5,3,1,1,2,3,5,2,2,4,2,1,1,2,1,3,1,2,6,2,4.251448080698956,103,0.3618346428771077,4.426924602399204,2.56965587222872,-1,-1,-1
dist_847,simulation_1,128,0.38515141394810876,84,106716,741981,0.09224971835474924,0.3589553313282682,0,2,360,nv_wooden_wall.jpg,nv_tile_square_green.jpg,nv_wood_shingles_brown.jpg,1.2197590579962636,,nv_tile_hexagonal_green_white.jpg,nv_wooden_wall.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,,,,,1,-3,-31,pinhole,0,0.4938833128538393,full_warehouse,50,2,10,2,2,4,4,1,1,2,3,3,2,2,9,2,1,2,1,1,1,1,2,3,2,3.942713208403918,115,0.4418115182930501,1.7541083501468893,2.059364149926018,4,-23,86
dist_848,simulation_1,128,2.8056801649314695,67,120982,462464,0.0446458768280947,3.745561069830914,0,2,360,nv_wooden_wall.jpg,nv_carpet_abstract_pattern.jpg,nv_tile_square_green.jpg,2.2865919007633044,,nv_carpet_abstract_pattern.jpg,nv_stucco_red_painted.jpg,nv_stucco_smooth_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_wooden_wall.jpg,,,nv_plastic_blue.jpg,1,-5,-9,pinhole,-21,0.41575718252717314,warehouse_with_forklifts,61,2,6,2,2,5,3,1,2,2,3,3,2,3,3,2,1,1,1,1,2,2,2,2,2,5.3967977367757225,106,0.20000000298023224,8.325727805525773,6.0,0,5,-1
dist_849,simulation_1,128,1.8666404355078619,52,104854,354125,0.02061684813504933,0.9111509630257871,2,2,360,nv_rubber_woven_charcoal.jpg,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,0.6367173683070427,,nv_fireplace_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_brick_reclaimed.jpg,nv_brick_red_stacked.jpg,,,nv_brick_reclaimed.jpg,1,-8,-24,pinhole,-10,0.014944044896007092,warehouse,18,2,12,2,3,18,3,1,1,2,3,5,2,2,6,3,1,1,1,1,1,1,2,3,2,5.341914941737243,70,0.20000000298023224,2.1892474767443457,1.2471331712761602,1,-4,107
